"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"
"1CALCUL SCORE"	"800300-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800300"	"n/a"	"689,531.60"
"1CALCUL SCORE"	"800301-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800301"	"n/a"	"0.00"
"1CALCUL SCORE"	"800302-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800302"	"n/a"	"651,699.67"
"ADLER BRUCE"	"800217-RE"	"0AED"	"E - Margin Long"	"001000"	"(450) 555-7061"	"(450) 555-8297"	"12,512.53"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BRUCE ADLER"	"Yes"	"01/09/1996"	""	"800217"	"0.00"	"1,295,227.30"
"ADLER BRUCE"	"800217-SF"	"0AED"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"57,981.48"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BRUCE ADLER"	"Yes"	"01/09/1996"	""	"800217"	"0.00"	"366,855.34"
"AIL ACHILLE"	"800228-FS"	"BD88"	"S - Retirement Savings Plan"	""	"4505551514"	"4505550827"	"6,654.51"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"n/a"	"183,609.72"
"AIL ACHILLE"	"800228-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"4505551514"	"4505550827"	"260.84"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/12/2010"	"11/16/2009"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"n/a"	"5,923.34"
"AIL ACHILLE"	"800228-RE"	"BD88"	"E - Margin Long"	""	"4505551514"	"4505550827"	"4,223.16"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"0.00"	"286,717.83"
"ALARY ANNY"	"800241-FS"	"0AED"	"S - Retirement Savings Plan"	""	"(450) 555-8327"	"(450) 555-6713"	"0.00"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/16/2004"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"n/a"	"0.00"
"ALARY ANNY"	"800241-GT"	"0AED"	"T - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"417.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"03/19/2004"	""	"800241"	"n/a"	"363,100.72"
"ALARY ANNY"	"800241-JW"	"0AED"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"232.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"n/a"	"5,732.00"
"ALARY ANNY"	"800241-RE"	"0AED"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"6,341.43"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"03/16/1993"	""	"800241"	"0.00"	"53,771.76"
"ALARY ANNY"	"800241-SF"	"0AED"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"0.06"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/18/2005"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"0.00"	"0.06"
"APPEL BERVERLY"	"800066-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/04/2007"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"292,733.55"
"APPEL BERVERLY"	"800066-LV"	"AC42"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/23/2007"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-NA"	"AC42"	"A - Cash"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/18/2008"	""	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-ZM"	"AC42"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2,725.53"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	"10/17/2008"	"French"	"No"	"BERVERLY APPEL"	"Yes"	"01/01/2009"	""	"800066"	"n/a"	"67,883.35"
"ARAMBASICH BETTI"	"800056-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BETTIE ARAMBASICH"	"Yes"	"01/01/2009"	""	"800056"	"n/a"	"503,977.40"
"ARAMBASICH BETTI"	"800056-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-3889"	"(450) 555-9951"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"BETTIE ARAMBASICH"	"Yes"	"01/01/2009"	""	"800056"	"0.00"	"5,353.02"
"ARMAND ARVIS"	"800049-NA"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"4,537.76"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/20/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"n/a"	"426,980.83"
"ARMAND ARVIS"	"800049-OB"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"9,180.42"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"n/a"	"143,472.44"
"ARMAND ARVIS"	"800049-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9327"	"(450) 555-0037"	"152.51"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"ARVIS ARMAND"	"Yes"	"01/01/2009"	""	"800049"	"0.00"	"133,502.36"
"ARSENAULT ADIRON"	"800245-GT"	"AC42"	"T - Retirement Income Funds"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"2,899.34"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"n/a"	"129,679.18"
"ARSENAULT ADIRON"	"800245-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"n/a"	"6,128.80"
"ARSENAULT ADIRON"	"800245-RE"	"AC42"	"E - Margin Long"	"001000001234"	"(450) 555-8632"	"(450) 555-0609"	"1,228.99"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"ADIRONDACK ARSENAULT"	"Yes"	"01/01/2009"	""	"800245"	"0.00"	"276,922.13"
"ATHANASOPOULOS B"	"800252-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4265"	"(450) 555-8593"	"1,259.07"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"BACHIR ATHANASOPOULOS"	"Yes"	"01/01/2009"	""	"800252"	"n/a"	"1,188,902.91"
"ATHANASOPOULOS B"	"800252-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4265"	"(450) 555-8593"	"2,766.14"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BACHIR ATHANASOPOULOS"	"Yes"	"01/01/2009"	""	"800252"	"0.00"	"1,270,131.23"
"AUBREY AUDREY"	"800240-NA"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/01/2009"	""	"English"	"No"	"AUDREY AUBREY"	"Yes"	"01/01/2009"	""	"800240"	"n/a"	"0.00"
"AUBREY AUDREY"	"800240-OB"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"English"	"No"	"AUDREY AUBREY"	"Yes"	"01/01/2009"	""	"800240"	"n/a"	"0.00"
"BALBUL ARLEEN"	"800270-FS"	"BD77"	"S - Retirement Savings Plan"	""	"(450) 555-7755"	"(450) 555-7411"	"(47.58)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/12/2010"	""	"French"	"No"	"ARLEEN BALBUL"	"Yes"	"01/01/2009"	""	"800270"	"n/a"	"571,913.62"
