"Account No."	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"	"Name"
"800300-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800300"	"n/a"	"689,531.60"	"1CALCUL SCORE"
"800301-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800301"	"n/a"	"0.00"	"1CALCUL SCORE"
"800302-OB"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"1SCORE CALCUL"	"Yes"	"01/01/2009"	""	"800302"	"n/a"	"651,699.67"	"1CALCUL SCORE"
"800217-RE"	"E - Margin Long"	"001000"	"(450) 555-7061"	"(450) 555-8297"	"12,512.53"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BRUCE ADLER"	"Yes"	"01/09/1996"	""	"800217"	"0.00"	"1,295,227.30"	"ADLER BRUCE"
"800217-SF"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"57,981.48"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BRUCE ADLER"	"Yes"	"01/09/1996"	""	"800217"	"0.00"	"366,855.34"	"ADLER BRUCE"
"800228-FS"	"S - Retirement Savings Plan"	""	"4505551514"	"4505550827"	"6,654.51"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"n/a"	"183,609.72"	"AIL ACHILLE"
"800228-JW"	"W - Spousal - Retirement Income Funds"	""	"4505551514"	"4505550827"	"260.84"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/12/2010"	"11/16/2009"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"n/a"	"5,923.34"	"AIL ACHILLE"
"800228-RE"	"E - Margin Long"	""	"4505551514"	"4505550827"	"4,223.16"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"ACHILLE AIL"	"Yes"	"01/01/2009"	""	"800228"	"0.00"	"286,717.83"	"AIL ACHILLE"
"800241-FS"	"S - Retirement Savings Plan"	""	"(450) 555-8327"	"(450) 555-6713"	"0.00"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/16/2004"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"01/01/2009"	""	"800241"	"n/a"	"0.00"	"ALARY ANNY"
"800241-GT"	"T - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"417.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ANNY ALARY"	"Yes"	"03/19/2004"	""	"800241"	"n/a"	"363,100.72"	"ALARY ANNY"
