"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Marge"	"Valeur totale"
"1CALCUL SCORE"	"800300-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"CAD"	"n/d"	"689 531,60"
"1CALCUL SCORE"	"800301-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"n/d"	"0,00"
"1CALCUL SCORE"	"800302-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"USD"	"n/d"	"651 699,67"
"ADLER BRUCE"	"800217-RE"	"0AED"	"E - Marge couvert"	"001000"	"(450) 555-7061"	"(450) 555-8297"	"12 512,53"	"CAD"	"0,00"	"1 295 227,30"
"ADLER BRUCE"	"800217-SF"	"0AED"	"E - Marge couvert"	""	"(450) 555-7061"	"(450) 555-8297"	"57 981,48"	"USD"	"0,00"	"366 855,34"
"AIL ACHILLE"	"800228-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"4505551514"	"4505550827"	"6 654,51"	"CAD"	"n/d"	"183 609,72"
"AIL ACHILLE"	"800228-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	"4505551514"	"4505550827"	"260,84"	"CAD"	"n/d"	"5 923,34"
"AIL ACHILLE"	"800228-RE"	"BD88"	"E - Marge couvert"	""	"4505551514"	"4505550827"	"4 223,16"	"CAD"	"0,00"	"286 717,83"
"ALARY ANNY"	"800241-FS"	"0AED"	"S - Régime d'épargne-retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"0,00"	"CAD"	"n/d"	"0,00"
"ALARY ANNY"	"800241-GT"	"0AED"	"T - Fonds de revenu de retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"417,09"	"CAD"	"n/d"	"363 100,72"
"ALARY ANNY"	"800241-JW"	"0AED"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8327"	"(450) 555-6713"	"232,00"	"CAD"	"n/d"	"5 732,00"
"ALARY ANNY"	"800241-RE"	"0AED"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"6 341,43"	"CAD"	"0,00"	"53 771,76"
"ALARY ANNY"	"800241-SF"	"0AED"	"E - Marge couvert"	""	"(450) 555-8327"	"(450) 555-6713"	"0,06"	"USD"	"0,00"	"0,06"
"APPEL BERVERLY"	"800066-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-4237"	"(450) 555-6129"	"13 445,90"	"CAD"	"n/d"	"292 733,55"
"APPEL BERVERLY"	"800066-LV"	"AC42"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4237"	"(450) 555-6129"	"0,00"	"CAD"	"n/d"	"0,00"
"APPEL BERVERLY"	"800066-ZM"	"AC42"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"2 725,53"	"CAD"	"n/d"	"67 883,35"
"ARAMBASICH BETTI"	"800056-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-3889"	"(450) 555-9951"	"368,09"	"CAD"	"n/d"	"503 977,40"
"ARAMBASICH BETTI"	"800056-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-3889"	"(450) 555-9951"	"0,00"	"CAD"	"0,00"	"5 353,02"
"ARMAND ARVIS"	"800049-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9327"	"(450) 555-0037"	"4 537,76"	"CAD"	"n/d"	"426 980,83"
