"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"1234567 CANADA I"	"800040"	"AC55"	"5148075821"	""	"31,537.84"	"CAD"	"0.00"	""	"(450) 555-8263"	""	"1,229,201.61"
"1CALCUL SCORE"	"800300"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"10,292.50"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"1,379,355.70"
"1SCORE FOND"	"800303"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"0.00"
"58448 R…EL TEST"	"90099A"	"BD88"	""	""	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"ABCDEF INC. GEST"	"800042"	"AC42"	"(450) 555-9672"	"(450) 555-7949"	"0.00"	"CAD"	"0.00"	""	"(450) 555-1172"	""	"0.00"
"ADLER BRUCE"	"800217"	"0AED"	"(450) 555-7061"	"(450) 555-8297"	"73,885.93"	"CAD"	"0.00"	""	"(450) 555-3775"	""	"1,683,543.68"
"AILLE ACHILLE"	"800228"	"BD88"	"4505551514"	"4505550827"	"11,138.51"	"CAD"	"0.00"	""	"(450) 555-1727"	""	"476,250.89"
"ALARY ANNY"	"800241"	"0AED"	"(450) 555-8327"	"(450) 555-6713"	"6,990.58"	"CAD"	"0.00"	""	"(450) 555-6498"	""	"422,604.54"
"ALUN LESTRAT FID"	"800038"	"AC42"	"(450) 555-7211"	"(450) 555-3571"	"0.00"	"CAD"	"0.00"	""	"(450) 555-3616"	""	"469,441.99"
"APPEL BERVERLY"	"800066"	"AC42"	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	"0.00"	""	"(450) 555-2898"	""	"292,733.55"
"ARAMBASICH BETTI"	"800056"	"AC42"	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	"0.00"	""	"(450) 555-8752"	""	"509,330.42"
"ARMAND ARVIS"	"800049"	"AC42"	"(450) 555-9327"	"(450) 555-0037"	"14,407.74"	"CAD"	"0.00"	""	"(450) 555-6449"	""	"712,348.77"
"ARSENAULT ADIRON"	"800245"	"AC42"	"(450) 555-8632"	"(450) 555-0609"	"4,128.33"	"CAD"	"0.00"	""	"(450) 555-5552"	""	"412,730.11"
