"Client No."	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Gross Income"	"carolet"	"Bouquet"	"bateau A"	"Bagage"	"Arbre A"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Segmentation"	"Representative"	"Model Number"	"Model Name"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Discretionary"	"Date of Birth"	"Communication"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"	"Name"
"800040"	"5148075821"	""	"31,537.84"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"1234567 CANADA INC."	""	""	"BEAUCHAMP.PAPPAS@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8263"	""	"1,229,201.61"	"1234567 CANADA I"
"800300"	"(450) 555-4444"	"(450) 555-4441"	"10,292.50"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"1SCORE CALCUL"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1990"	""	"0.00"	""	"(450) 555-4442"	""	"1,379,355.70"	"1CALCUL SCORE"
"800303"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"1SCORE FOND"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1990"	""	"0.00"	""	"(450) 555-4442"	""	"0.00"	"1SCORE FOND"
"90099A"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	""	""	""	""	"No"	""	""	"French"	"test 58448 réel"	""	""	""	"Yes"	""	""	"0.00"	""	""	""	"0.00"	"58448 RÉEL TEST"
"800042"	"(450) 555-9672"	"(450) 555-7949"	"0.00"	"CAD"	""	""	"Security Number"	"% Other Securities Content"	""	"98,765,432,101.33"	""	"3"	"2"	"1"	"D"	"No"	""	""	"English"	"GESTION ABCDEF INC."	""	""	"ANGELE.BEAVEN@hotmail.com"	"Yes"	"01/01/1900"	"Email"	"0.00"	""	"(450) 555-1172"	""	"0.00"	"ABCDEF INC. GEST"
"800217"	"(450) 555-7061"	"(450) 555-8297"	"73,885.93"	"CAD"	"3,252"	""	"Security Number"	"% Preferred Equity Content"	""	"452,145.33"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRUCE ADLER"	""	""	"CARLTON.CANNON@caramail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-3775"	""	"1,683,543.68"	"ADLER BRUCE"
"800228"	"4505551514"	"4505550827"	"11,138.51"	"CAD"	"60,000"	""	"Category"	"% Warrants Content"	""	"4,582.36"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"MONSIEUR ACHILLE T. AILLE FR."	""	""	"ANNEKE.CHADILLON@hotmail.com"	"Yes"	"01/01/1965"	""	"0.00"	""	"(450) 555-1727"	""	"476,250.89"	"AILLE ACHILLE"
"800241"	"(450) 555-8327"	"(450) 555-6713"	"6,990.58"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ANNY ALARY"	""	""	"sebastien.marcotte@croesus.com"	"Yes"	""	""	"0.00"	""	"(450) 555-6498"	""	"422,604.54"	"ALARY ANNY"
"800038"	"(450) 555-7211"	"(450) 555-3571"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	"~M-00016-0"	"SOUS_MODELE"	"French"	"FIDUCIE ALUN LESTRAT"	""	""	"ARVIS.BAZIN@hotmail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-3616"	""	"469,441.99"	"ALUN LESTRAT FID"
"800066"	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	""	""	"Category"	"% Preferred Equity Content"	""	"450,252.22"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERVERLY APPEL"	""	""	"sebastien.marcotte@croesus.com"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-2898"	""	"292,733.55"	"APPEL BERVERLY"
