"État"	"Solde"	"No de compte"	"Nom"	"Code de CP"	"Téléphone 1"	"Devise"	"Assignée à"
"Ouvert"	"833 754,65"	"800216-NA"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"CAD"	""
"Ouvert"	"681 540,37"	"800216-OB"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"USD"	""
"Ouvert"	"301 576,54"	"800036-NA"	"LA FABRIQUE DE L"	"AC44"	"4502638715F"	"CAD"	""
"Ouvert"	"266 141,04"	"800063-OB"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"USD"	""
"Ouvert"	"233 938,96"	"800008-OB"	"CHADILLON ANNEKE"	"AC42"	"(514) 666-4476"	"USD"	""
"Ouvert"	"216 828,76"	"800002-OB"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"USD"	""
"Ouvert"	"198 967,04"	"800060-NA"	"GRUEN CHANTAL"	"AC42"	""	"CAD"	""
"Ouvert"	"192 288,35"	"800063-NA"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"CAD"	""
"Ouvert"	"171 147,13"	"800280-SF"	"GALLEY BENEZETTE"	"AC43"	"1234567890"	"USD"	""
"Ouvert"	"149 888,26"	"800249-NA"	"HOFFMAN ARRY"	"BD88"	"(450) 555-6934"	"CAD"	""
"Ouvert"	"143 256,11"	"800041-NA"	"GESTION ABCDEF I"	"AC44"	"4183346666"	"CAD"	""
"Ouvert"	"142 067,81"	"800041-OB"	"GESTION ABCDEF I"	"AC44"	"4183346666"	"USD"	""
"Ouvert"	"122 664,08"	"800031-NA"	"NOUNOU"	"AC42"	"4185432287"	"CAD"	""
"Ouvert"	"113 045,51"	"800020-RE"	"MAKRIS ACACIA"	"AC42"	"(450) 555-3128"	"CAD"	""
"Ouvert"	"95 476,03"	"800236-NA"	"KNIGHT AMEDEE"	"BD66"	""	"CAD"	""
"Ouvert"	"94 546,82"	"800041-FS"	"GESTION ABCDEF I"	"AC44"	"4183346666"	"CAD"	""
"Ouvert"	"92 145,40"	"800248-NA"	"TABAK BERANGERE"	"BD88"	"(450) 555-1478"	"CAD"	""
"Ouvert"	"82 550,22"	"800072-SF"	"CATANI BRAY"	"AC42"	"(450) 555-2128"	"USD"	""
"Ouvert"	"74 399,78"	"800082-RE"	"NEVINS BENNETT"	"0AED"	"450 6626101B"	"CAD"	""
"Ouvert"	"69 818,98"	"800075-RE"	"BORTOLUS BRITES"	"BD88"	"1234567890"	"CAD"	""
"Ouvert"	"63 736,98"	"800060-OB"	"GRUEN CHANTAL"	"AC42"	""	"USD"	""
"Ouvert"	"57 981,48"	"800217-SF"	"ADLER BRUCE"	"0AED"	"(450) 555-7061"	"USD"	""
