État	Solde	No de compte	Code de CP	Téléphone 1	Nom long	Dernier contact	Date de naissance	Assignée à	Nom
Ouvert	"833 754,65"	800216-NA	AC43	(450) 555-9953	AMYN SAMSON		1936-10-10 0:00		SAMSON AMYN
Ouvert	"681 540,37"	800216-OB	AC43	(450) 555-9953	AMYN SAMSON		1936-10-10 0:00		SAMSON AMYN
Ouvert	"301 576,54"	800036-NA	AC44	4502638715F	LA FABRIQUE DE LA RESERVE DE NOTRE-DAME-DE-LAFRIQUE		1900-01-01 0:00		LA FABRIQUE DE L
Ouvert	"266 141,04"	800063-OB	AC42	(450) 555-8191	BERNATCHEZ EVERTON		1970-12-12 0:00		EVERTON BERNATCH
Ouvert	"233 938,96"	800008-OB	AC42	(514) 666-4476	ANNEKE CHADILLON		1948-09-12 0:00		CHADILLON ANNEKE
Ouvert	"216 828,76"	800002-OB	AC42	(450) 555-7727	AUGUSTUS BEANLAND		1948-09-12 0:00		BEANLAND AUGUSTU
Ouvert	"198 967,04"	800060-NA	AC42		CHANTAL GRUEN		1970-12-12 0:00		GRUEN CHANTAL
Ouvert	"192 288,35"	800063-NA	AC42	(450) 555-8191	BERNATCHEZ EVERTON		1970-12-12 0:00		EVERTON BERNATCH
Ouvert	"171 147,13"	800280-SF	AC43	1234567890	BENEZETTE GALLEY		1975-06-15 0:00		GALLEY BENEZETTE
Ouvert	"149 888,26"	800249-NA	BD88	(450) 555-6934	ARRY HOFFMAN		1968-09-07 0:00		HOFFMAN ARRY
Ouvert	"143 256,11"	800041-NA	AC44	4183346666	GESTION ABCDEF INC.		1900-01-01 0:00		GESTION ABCDEF I
Ouvert	"142 067,81"	800041-OB	AC44	4183346666	GESTION ABCDEF INC.		1900-01-01 0:00		GESTION ABCDEF I
Ouvert	"122 664,08"	800031-NA	AC42	4185432287	NOUNOU		1953-02-17 0:00		NOUNOU
Ouvert	"113 045,51"	800020-RE	AC42	(450) 555-3128	ACACIA MAKRIS		1950-01-10 0:00		MAKRIS ACACIA
Ouvert	"95 476,03"	800236-NA	BD66		Mr. AMEDEE Jr. KNIGHT DR.		1959-10-11 0:00		KNIGHT AMEDEE
Ouvert	"94 546,82"	800041-FS	AC44	4183346666	GESTION ABCDEF INC.		1900-01-01 0:00		GESTION ABCDEF I
Ouvert	"92 145,40"	800248-NA	BD88	(450) 555-1478	BERANGERE TABAK		1968-09-07 0:00		TABAK BERANGERE
Ouvert	"82 550,22"	800072-SF	AC42	(450) 555-2128	BRAY CATANI		1953-02-11 0:00		CATANI BRAY
Ouvert	"74 399,78"	800082-RE	0AED	450 6626101B	BENNETT NEVINS		1975-06-18 0:00		NEVINS BENNETT
Ouvert	"69 818,98"	800075-RE	BD88	1234567890	BRITES BORTOLUS		1975-06-18 0:00		BORTOLUS BRITES
Ouvert	"63 736,98"	800060-OB	AC42		CHANTAL GRUEN		1970-12-12 0:00		GRUEN CHANTAL
Ouvert	"57 981,48"	800217-SF	0AED	(450) 555-7061	BRUCE ADLER		1965-03-07 0:00		ADLER BRUCE
Ouvert	"57 280,12"	800036-GT	AC44	4502638715F	LA FABRIQUE DE LA RESERVE DE NOTRE-DAME-DE-LAFRIQUE		1900-01-01 0:00		LA FABRIQUE DE L
Ouvert	"55 541,99"	800013-OB	AC55	(450) 555-2336	BERNARDIN LANDRY		1950-01-10 0:00		LANDRY BERNARDIN
Ouvert	"46 832,77"	800001-OB	AC42	(450) 555-6794	ALAIN HEFFELFINGER		1948-09-12 0:00		HEFFELFINGER ALA
Ouvert	"39 718,57"	800212-FS	BD88	(450) 555-1057	ALICK SERGE		1936-10-10 0:00		SERGE ALICK
Ouvert	"35 969,79"	800283-HU	BD88		ALAIN BREESE		1975-06-15 0:00		BREESE ALAIN
