Acct. No.	Processing	Transaction	IA Code	Type	Symbol	Quantity	Price	Cur.	Total	Commission	Gains/Losses	Accrued Int.	Fees	Manual ACB	Cash Balance
800502-NA	01/25/2010	12/21/2009	BD88	Sell	M60899	(10,000)	99.900	CAD	9,990.00	0.00	0.00	0.00	0.00	0.000	471,784.75
800502-NA	01/25/2010	06/15/2009	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	461,794.75
800502-NA	01/25/2010	03/31/2009	BD88	Buy	M60899	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	470,344.75
800502-NA	01/25/2010	03/31/2009	BD88	Buy	M86062	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	480,244.75
800502-NA	01/25/2010	03/31/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	480,244.75
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	01/25/2010	03/03/2009	BD88	Buy	M22762	10,000	87.250	USD	(11,255.25)	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	01/25/2010	03/03/2009	BD88	Buy	M86062	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	01/25/2010	03/03/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	01/25/2010	03/03/2009	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	01/25/2010	01/22/2010	BD88	Sell	M60899	(10,000)	99.950	CAD	9,995.00	0.00	0.00	0.00	0.00	0.000	453,258.00
800401-NA	01/25/2010	01/20/2010	BD88	Buy	M86062	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	443,263.00
800401-NA	01/25/2010	01/20/2010	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	453,163.00
800401-NA	01/25/2010	12/31/2009	BD88	Buy	M60899	10,000	99.900	CAD	(9,990.00)	0.00	0.00	0.00	0.00	0.000	461,713.00
