"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Total Value"
"1CALCUL SCORE"	"800300-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	"n/a"	"689,533.32"
"1CALCUL SCORE"	"800301-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"n/a"	"0.00"
"1CALCUL SCORE"	"800302-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"USD"	"n/a"	"651,701.30"
"ADLER BRUCE"	"800217-RE"	"AC43"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"12,512.53"	"CAD"	"0.00"	"1,307,426.74"
"ADLER BRUCE"	"800217-SF"	"AC43"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"57,981.48"	"USD"	"0.00"	"427,276.55"
"AIL ACHILLE"	"800228-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-1514"	"(450) 555-0827"	"6,654.51"	"CAD"	"n/a"	"183,609.72"
"AIL ACHILLE"	"800228-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-1514"	"(450) 555-0827"	"260.84"	"CAD"	"n/a"	"5,923.34"
"AIL ACHILLE"	"800228-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-1514"	"(450) 555-0827"	"4,223.16"	"CAD"	"0.00"	"286,717.83"
"ALARY ANNY"	"800241-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-8327"	"(450) 555-6713"	"0.00"	"CAD"	"n/a"	"0.00"
"ALARY ANNY"	"800241-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"417.09"	"CAD"	"n/a"	"363,100.63"
"ALARY ANNY"	"800241-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"232.00"	"CAD"	"n/a"	"5,732.00"
"ALARY ANNY"	"800241-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"6,341.43"	"CAD"	"0.00"	"53,771.76"
"ALARY ANNY"	"800241-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"0.06"	"USD"	"0.00"	"0.06"
"APPEL BERVERLY"	"800066-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	"n/a"	"292,739.44"
"APPEL BERVERLY"	"800066-LV"	"AC42"	"N -"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-MZ"	"AC42"	"O -"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-NA"	"AC42"	"A - Cash"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"n/a"	"0.00"
"ARAMBASICH BETTI"	"800056-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	"n/a"	"534,002.34"
"ARAMBASICH BETTI"	"800056-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-3889"	"(450) 555-9951"	"0.00"	"CAD"	"0.00"	"5,353.02"
"ARMAND ARVIS"	"800049-NA"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"4,537.76"	"CAD"	"n/a"	"426,980.83"
"ARMAND ARVIS"	"800049-OB"	"AC42"	"A - Cash"	""	"(450) 555-9327"	"(450) 555-0037"	"9,180.42"	"USD"	"n/a"	"143,472.44"
"ARMAND ARVIS"	"800049-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9327"	"(450) 555-0037"	"152.51"	"CAD"	"0.00"	"133,502.36"
"ARSENAULT ADIRON"	"800245-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-8632"	"(450) 555-0609"	"2,899.34"	"CAD"	"n/a"	"129,679.18"
"ARSENAULT ADIRON"	"800245-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8632"	"(450) 555-0609"	"0.00"	"CAD"	"n/a"	"6,128.80"
"ARSENAULT ADIRON"	"800245-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-8632"	"(450) 555-0609"	"1,228.99"	"CAD"	"0.00"	"276,922.13"
"ATHANASOPOULOS B"	"800252-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4265"	"(450) 555-8593"	"1,259.07"	"CAD"	"n/a"	"1,188,902.91"
"ATHANASOPOULOS B"	"800252-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4265"	"(450) 555-8593"	"2,766.14"	"CAD"	"0.00"	"1,270,134.60"
"AUBREY AUDREY"	"800240-NA"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	"n/a"	"0.00"
"AUBREY AUDREY"	"800240-OB"	"BD88"	"A - Cash"	""	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"USD"	"n/a"	"0.00"
"BALBUL ARLEEN"	"800270-FS"	"BD77"	"S - Retirement Savings Plan"	""	"(450) 555-7755"	"(450) 555-7411"	"(47.58)"	"CAD"	"n/a"	"571,913.62"
"BALBUL ARLEEN"	"800270-NA"	"BD77"	"A - Cash"	""	"(450) 555-7755"	"(450) 555-7411"	"(5,596.21)"	"CAD"	"n/a"	"269,127.66"
"BARBOUR CATHERIN"	"800232-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-1002"	"(450) 555-1070"	"(140.49)"	"CAD"	"n/a"	"174,234.15"
"BARBOUR CATHERIN"	"800232-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-1002"	"(450) 555-1070"	"99.20"	"CAD"	"n/a"	"5,158.50"
"BARBOUR CATHERIN"	"800232-NA"	"BD88"	"A - Cash"	""	"(450) 555-1002"	"(450) 555-1070"	"691.28"	"CAD"	"n/a"	"549,420.52"
"BARKWELL CARLSON"	"800068-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-6025"	"(450) 555-5840"	"0.00"	"CAD"	"n/a"	"0.00"
"BARKWELL CARLSON"	"800068-NA"	"BD66"	"A - Cash"	""	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	"n/a"	"250,286.36"
"BARROWS ARTHUR"	"800265-LY"	"BD77"	"Y - Life Annuity"	""	"(450) 555-6934"	"(450) 555-0907"	"1,191.33"	"CAD"	"n/a"	"192,950.85"
"BARROWS ARTHUR"	"800265-NA"	"BD77"	"A - Cash"	""	"(450) 555-6934"	"(450) 555-0907"	"2,077.33"	"CAD"	"n/a"	"184,592.67"
"BARTLEY BLAINE"	"800033-FS"	"AC44"	"S - Retirement Savings Plan"	""	"(450) 555-7498"	"(450) 555-1584"	"0.00"	"CAD"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-GT"	"AC44"	"T - Retirement Income Funds"	""	"(450) 555-7498"	"(450) 555-1584"	"376.89"	"CAD"	"n/a"	"491,542.32"
"BARTLEY BLAINE"	"800033-JW"	"AC44"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7498"	"(450) 555-1584"	"0.00"	"CAD"	"n/a"	"0.00"
"BARTLEY BLAINE"	"800033-RE"	"AC44"	"E - Margin Long"	""	"(450) 555-7498"	"(450) 555-1584"	"1,086.40"	"CAD"	"0.00"	"29,625.73"
"BASTET CHOY"	"800285-ER"	"AC42"	"V - Education Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"6,630.91"	"CAD"	"n/a"	"63,040.06"
"BASTET CHOY"	"800285-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-5251"	"(450) 555-1671"	"3,917.74"	"CAD"	"n/a"	"94,557.64"
"BASTET CHOY"	"800285-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5251"	"(450) 555-1671"	"182.50"	"CAD"	"n/a"	"5,189.00"
"BASTET CHOY"	"800285-NA"	"AC42"	"A - Cash"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"CAD"	"n/a"	"0.00"
"BASTET CHOY"	"800285-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"(8,797.69)"	"CAD"	"0.00"	"462,213.23"
"BASTET CHOY"	"800285-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-5251"	"(450) 555-1671"	"0.00"	"USD"	"0.00"	"0.00"
"BEANLAND AUGUSTU"	"800002-NA"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"32,554.52"	"CAD"	"n/a"	"1,662,354.16"
"BEANLAND AUGUSTU"	"800002-OB"	"AC42"	"A - Cash"	""	"(450) 555-7727"	"(450) 555-1322"	"216,828.76"	"USD"	"n/a"	"571,704.73"
"BEANLAND AUGUSTU"	"800002-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"14,714.81"	"CAD"	"0.00"	"258,541.01"
"BEANLAND AUGUSTU"	"800002-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-7727"	"(450) 555-1322"	"10.29"	"USD"	"0.00"	"31.58"
"BEAUCH RAYMOND"	"800238-DQ"	"BD88"	"Q - Stock Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"0.00"	"0.00"
"BEAUCH RAYMOND"	"800238-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-5907"	"(450) 555-1414"	"7.09"	"CAD"	"n/a"	"406,069.18"
"BEAUCH RAYMOND"	"800238-NA"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"CAD"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-OB"	"BD88"	"A - Cash"	""	"(450) 555-5907"	"(450) 555-1414"	"0.00"	"USD"	"n/a"	"0.00"
"BEAUCH RAYMOND"	"800238-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"15,191.32"	"CAD"	"0.00"	"925,364.38"
"BEAUCH RAYMOND"	"800238-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-5907"	"(450) 555-1414"	"1,743.94"	"USD"	"0.00"	"219,447.15"
"BELLEROSE ANGELA"	"800202-NA"	"AC43"	"A - Cash"	""	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	"n/a"	"95,601.37"
"BELLINI CARILYNE"	"800058-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4422"	"(450) 555-6940"	"2,612.16"	"CAD"	"n/a"	"141,011.72"
"BELLINI CARILYNE"	"800058-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-4422"	"(450) 555-6940"	"108.75"	"CAD"	"n/a"	"5,324.76"
"BELLINI CARILYNE"	"800058-NA"	"AC42"	"A - Cash"	""	"(450) 555-4422"	"(450) 555-6940"	"3,805.49"	"CAD"	"n/a"	"159,701.01"
"BELLINI CARILYNE"	"800058-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-4422"	"(450) 555-6940"	"6,765.89"	"CAD"	"0.00"	"91,948.67"
"BELVAN BELLEROSE"	"800231-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-2263"	"(450) 555-8913"	"0.00"	"CAD"	"n/a"	"0.00"
"BELVAN BELLEROSE"	"800231-GT"	"BD66"	"T - Retirement Income Funds"	""	"(450) 555-2263"	"(450) 555-8913"	"(22,181.23)"	"CAD"	"n/a"	"704,087.67"
"BELVAN BELLEROSE"	"800231-NA"	"BD66"	"A - Cash"	""	"(450) 555-2263"	"(450) 555-8913"	"2,558.62"	"CAD"	"n/a"	"638,135.34"
"BIANCHI ARSENE"	"800219-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-0398"	"(450) 555-7757"	"0.00"	"CAD"	"n/a"	"0.00"
"BIANCHI ARSENE"	"800219-JW"	"BD66"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0398"	"(450) 555-7757"	"437.80"	"CAD"	"n/a"	"6,134.32"
"BIANCHI ARSENE"	"800219-NA"	"BD66"	"A - Cash"	""	"(450) 555-0398"	"(450) 555-7757"	"39.40"	"CAD"	"n/a"	"39.48"
"BIHOUR ALISSA"	"800223-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-2932"	"(450) 555-6137"	"1,048.90"	"CAD"	"n/a"	"429,184.87"
"BIHOUR ALISSA"	"800223-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-2932"	"(450) 555-6137"	"19,427.63"	"CAD"	"0.00"	"555,311.32"
"BLACK JACOB"	"800291-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"n/a"	"0.00"
"BLACK JACOB"	"800291-GT"	"AC42"	"T - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"25,494.83"	"CAD"	"n/a"	"98,438.00"
"BLACK JACOB"	"800291-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"n/a"	"0.00"
"BLACK JACOB"	"800291-LV"	"AC42"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"n/a"	"0.00"
"BLACK JACOB"	"800291-MZ"	"AC42"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"n/a"	"0.00"
"BLACK JACOB"	"800291-RE"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"3,432.32"	"CAD"	"0.00"	"5,757.92"
"BLACK JACOB"	"800291-SF"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"(2,590.01)"	"USD"	"0.00"	"(2,284.86)"
"BLACK JACOB"	"800291-VL"	"AC42"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	"n/a"	"0.00"
"BLANCHARD CARMEN"	"800255-DQ"	"AC42"	"Q - Stock Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	"0.00"	"0.00"
"BLANCHARD CARMEN"	"800255-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"7,083.57"	"CAD"	"n/a"	"105,130.88"
"BLANCHARD CARMEN"	"800255-KX"	"AC42"	"X - Locked-in Income Fund"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	"n/a"	"0.00"
"BLANCHARD CARMEN"	"800255-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-2250"	"(450) 555-9406"	"6,599.67"	"CAD"	"0.00"	"333,225.38"
"BLOOMFIELD BLUMA"	"800207-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-7052"	"(450) 555-7611"	"551.23"	"CAD"	"n/a"	"503,485.25"
"BLOOMFIELD BLUMA"	"800207-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7052"	"(450) 555-7611"	"0.00"	"CAD"	"n/a"	"10,084.47"
"BLOOMFIELD BLUMA"	"800207-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7052"	"(450) 555-7611"	"12,404.28"	"CAD"	"0.00"	"779,880.55"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"n/a"	"0.00"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"n/a"	"0.00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Cash"	""	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"n/a"	"161,676.52"
"BORTOLUS BRITES"	"800075-JJ"	"BD88"	"J -"	""	"(450) 555-3387"	"(450) 555-3798"	"4,230.94"	"CAD"	"n/a"	"4,230.94"
"BORTOLUS BRITES"	"800075-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-3387"	"(450) 555-3798"	"69,818.98"	"CAD"	"0.00"	"1,464,975.72"
