"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Feuille F"	"Statut"	"Segments"	"Réserves"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"	"Nom"
"800300-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"1SCORE CALCUL"	""	"800300"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"689 531,60"	"1CALCUL SCORE"
"800301-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"1SCORE CALCUL"	""	"800301"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"1CALCUL SCORE"
"800302-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"USD"	""	"Ouvert"	"Non"	""	""	"1SCORE CALCUL"	""	"800302"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"651 699,67"	"1CALCUL SCORE"
"800217-RE"	"E - Marge couvert"	"001000"	"(450) 555-7061"	"(450) 555-8297"	"12 512,53"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"BRUCE ADLER"	""	"800217"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"1996/01/09"	"Non"	"0,00"	"1 295 227,30"	"ADLER BRUCE"
"800217-SF"	"E - Marge couvert"	""	"(450) 555-7061"	"(450) 555-8297"	"57 981,48"	"USD"	""	"Ouvert"	"Non"	""	""	"BRUCE ADLER"	""	"800217"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"1996/01/09"	"Non"	"0,00"	"366 855,34"	"ADLER BRUCE"
"800228-FS"	"S - Régime d'épargne-retraite"	""	"4505551514"	"4505550827"	"6 654,51"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACHILLE AIL"	""	"800228"	"n/d"	"n/d"	"Anglais"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"183 609,72"	"AIL ACHILLE"
"800228-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"4505551514"	"4505550827"	"260,84"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"ACHILLE AIL"	""	"800228"	"n/d"	"n/d"	"Anglais"			""	"2009/11/16"	""	""	"2010/01/12"	""	"2009/01/01"	"Non"	"n/d"	"5 923,34"	"AIL ACHILLE"
"800228-RE"	"E - Marge couvert"	""	"4505551514"	"4505550827"	"4 223,16"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACHILLE AIL"	""	"800228"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"286 717,83"	"AIL ACHILLE"
"800241-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"0,00"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"ANNY ALARY"	""	"800241"	"n/d"	"n/d"	"Anglais"			""	"2004/04/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"ALARY ANNY"
"800241-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"417,09"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNY ALARY"	""	"800241"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2004/03/19"	"Non"	"n/d"	"363 100,72"	"ALARY ANNY"
