"Is Joint"	"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"No"	"1CALCUL SCORE"	"800300"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"689,533.32"
"No"	"1CALCUL SCORE"	"800301"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"0.00"
"No"	"1CALCUL SCORE"	"800302"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"5,292.50"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"689,825.83"
"No"	"1SCORE FOND"	"800303"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"0.00"
"No"	"ADLER BRUCE"	"800217"	"AC43"	"(450) 555-7061"	"(450) 555-8297"	"73,885.93"	"CAD"	"0.00"	""	"(450) 555-3775"	""	"1,759,698.97"
"No"	"AIL ACHILLE"	"800228"	"BD88"	"(450) 555-1514"	"(450) 555-0827"	"11,138.51"	"CAD"	"0.00"	""	"(450) 555-1727"	""	"476,250.89"
"No"	"ALARY ANNY"	"800241"	"BD88"	"(450) 555-8327"	"(450) 555-6713"	"6,990.58"	"CAD"	"0.00"	""	"(450) 555-6498"	""	"422,604.45"
"No"	"APPEL BERVERLY"	"800066"	"AC42"	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	"n/a"	""	"(450) 555-2898"	""	"292,739.44"
"No"	"ARAMBASICH BETTI"	"800056"	"BD88"	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	"0.00"	""	"(450) 555-8752"	""	"539,355.36"
"No"	"ARMAND ARVIS"	"800049"	"AC42"	"(450) 555-9327"	"(450) 555-0037"	"14,407.74"	"CAD"	"0.00"	""	"(450) 555-6449"	""	"712,348.77"
"No"	"ARSENAULT ADIRON"	"800245"	"AC42"	"(450) 555-8632"	"(450) 555-0609"	"4,128.33"	"CAD"	"0.00"	""	"(450) 555-5552"	""	"412,730.11"
"No"	"ATHANASOPOULOS B"	"800252"	"AC42"	"(450) 555-4265"	"(450) 555-8593"	"4,025.21"	"CAD"	"0.00"	""	"(450) 555-2044"	""	"2,459,037.51"
"No"	"AUBREY AUDREY"	"800240"	"BD88"	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	"n/a"	""	"(450) 555-7115"	""	"0.00"
"No"	"BALBUL ARLEEN"	"800270"	"BD77"	"(450) 555-7755"	"(450) 555-7411"	"(5,643.79)"	"CAD"	"n/a"	""	"(450) 555-0404"	""	"841,041.28"
"No"	"BARBOUR CATHERIN"	"800232"	"BD88"	"(450) 555-1002"	"(450) 555-1070"	"649.99"	"CAD"	"n/a"	""	"(450) 555-4988"	""	"728,813.17"
"No"	"BARKWELL CARLSON"	"800068"	"BD66"	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	"n/a"	""	"(450) 555-5028"	""	"250,286.36"
"No"	"BARROWS ARTHUR"	"800265"	"BD77"	"(450) 555-6934"	"(450) 555-0907"	"3,268.66"	"CAD"	"n/a"	""	"(450) 555-2160"	""	"377,543.52"
"No"	"BARTLEY BLAINE"	"800033"	"AC44"	"(450) 555-7498"	"(450) 555-1584"	"1,463.29"	"CAD"	"0.00"	""	"(450) 555-1370"	""	"521,168.05"
"No"	"BASTET CHOY"	"800285"	"AC42"	"(450) 555-5251"	"(450) 555-1671"	"1,933.46"	"CAD"	"0.00"	""	"(450) 555-5182"	""	"624,999.93"
"No"	"BEANLAND AUGUSTU"	"800002"	"AC42"	"(450) 555-7727"	"(450) 555-1322"	"276,793.46"	"CAD"	"0.00"	""	"(450) 555-2299"	""	"2,526,078.05"
"No"	"BEAUCH RAYMOND"	"800238"	"BD88"	"(450) 555-5907"	"(450) 555-1414"	"17,044.37"	"CAD"	"0.00"	""	"(450) 555-2860"	""	"1,563,718.37"
"No"	"BELLEROSE ANGELA"	"800202"	"AC43"	"(450) 555-3088"	"(450) 555-1218"	"8,192.46"	"CAD"	"n/a"	""	"(450) 555-9588"	""	"95,601.37"
"No"	"BELLINI CARILYNE"	"800058"	"AC42"	"(450) 555-4422"	"(450) 555-6940"	"13,292.29"	"CAD"	"0.00"	""	"(450) 555-6078"	""	"397,986.16"
"No"	"BELVAN BELLEROSE"	"800231"	"BD66"	"(450) 555-2263"	"(450) 555-8913"	"(19,622.61)"	"CAD"	"n/a"	""	"(450) 555-8880"	""	"1,342,223.01"
"No"	"BIANCHI ARSENE"	"800219"	"BD66"	"(450) 555-0398"	"(450) 555-7757"	"477.20"	"CAD"	"n/a"	""	"(450) 555-4364"	""	"6,173.80"
"No"	"BIHOUR ALISSA"	"800223"	"BD88"	"(450) 555-2932"	"(450) 555-6137"	"20,476.53"	"CAD"	"0.00"	""	"(450) 555-2693"	""	"984,496.19"
"No"	"BLACK JACOB"	"800291"	"AC42"	"(416) 668-5656"	"(416) 668-0909"	"26,185.62"	"CAD"	"0.00"	""	"(416) 668-0909"	""	"101,777.40"
"No"	"BLANCHARD CARMEN"	"800255"	"AC42"	"(450) 555-2250"	"(450) 555-9406"	"13,683.24"	"CAD"	"0.00"	""	"(450) 555-1419"	""	"438,356.26"
"No"	"BLOOMFIELD BLUMA"	"800207"	"AC42"	"(450) 555-7052"	"(450) 555-7611"	"12,955.51"	"CAD"	"0.00"	""	"(450) 555-5513"	""	"1,293,450.27"
"No"	"BOMBARDIER FRAN"	"800055"	"AC42"	"(450) 555-8078"	"(450) 555-6495"	"0.00"	"CAD"	"n/a"	""	"(450) 555-9282"	""	"161,676.52"
"No"	"BORTOLUS BRITES"	"800075"	"BD88"	"(450) 555-3387"	"(450) 555-3798"	"74,139.89"	"CAD"	"0.00"	""	"(450) 555-4395"	""	"1,766,644.10"
"No"	"BOWMAN BARBEL"	"800034"	"AC42"	"(450) 555-9271"	"(450) 555-2623"	"28,675.88"	"CAD"	"0.00"	""	"(450) 555-8693"	""	"220,995.64"
"No"	"BRABANTB BERVERL"	"800225"	"BD66"	"(450) 555-5808"	"(450) 555-3177"	"2,356.49"	"CAD"	"0.00"	""	"(450) 555-2074"	""	"901,793.33"
"No"	"BRACKHAUS BRAD"	"800028"	"AC44"	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	"n/a"	""	"(450) 555-0388"	""	"0.00"
"No"	"BRASSERIE STAN"	"800275"	"BD77"	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	"n/a"	""	"(450) 555-1950"	""	"0.00"
"No"	"BREESE ALAIN"	"800282"	"BD66"	"(450) 555-9334"	"(450) 555-9512"	"0.00"	"CAD"	"n/a"	""	"(450) 555-3334"	""	"0.00"
"No"	"BREESE ALAIN"	"800283"	"BD88"	"(450) 555-1106"	"(450) 555-8881"	"35,969.79"	"CAD"	"0.00"	""	"(450) 555-6194"	""	"35,969.79"
"No"	"BRODEUR MARTIN"	"800017"	"AC42"	"(450) 555-9114"	"(450) 555-8987"	"8,173.69"	"CAD"	"n/a"	""	"(450) 555-9241"	""	"193,143.58"
"No"	"BROGAN CLARENCE"	"800081"	"BD66"	"(450) 555-6934"	"(450) 555-0534"	"2,758.48"	"CAD"	"0.00"	""	"(450) 555-4339"	""	"432,145.24"
"No"	"BUCHER BRASSEURS"	"800057"	"AC42"	"(450) 555-7203"	"(450) 555-8729"	"5,685.62"	"CAD"	"0.00"	""	"(450) 555-7607"	""	"426,036.17"
"No"	"BULLETIN ACURA"	"800259"	"AC43"	"(450) 555-8616"	"(450) 555-9526"	"6,826.00"	"CAD"	"n/a"	""	"(450) 555-5647"	""	"767,665.84"
"No"	"BURDETT ALAIN"	"800281"	"BD66"	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	"n/a"	""	"(450) 555-3347"	""	"477,289.15"
"No"	"CALCULS ESCOMPTE"	"300005"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"49,897.57"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"149,654.06"
"No"	"CALCULS GAINS/PE"	"300010"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"558,649.04"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"1,027,497.15"
"No"	"CALCULS USD"	"300006"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"18,845.94"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"207,229.58"
"No"	"CALDER CARILYNE"	"800274"	"BD88"	"(450) 555-8856"	"(450) 555-8077"	"1,436.85"	"CAD"	"0.00"	""	"(450) 555-0261"	""	"60,482.00"
"No"	"CANESSO BEATRICE"	"800258"	"AC42"	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	"0.00"	""	"(450) 555-2887"	""	"0.00"
"No"	"CAPEK ADRIANA"	"800059"	"AC42"	"(450) 555-3924"	"(450) 555-6516"	"5,373.05"	"CAD"	"0.00"	""	"(450) 555-9312"	""	"1,805,523.66"
"No"	"CASTLE ARDEN"	"800284"	"BD66"	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	"n/a"	""	"(450) 555-4057"	""	"40,172.61"
"No"	"CATANI BRAY"	"800072"	"AC42"	"(450) 555-2128"	"(450) 555-7689"	"86,171.10"	"CAD"	"0.00"	""	"(450) 555-2334"	""	"653,265.92"
"No"	"CELLARD AMIR"	"800200"	"AC42"	"(450) 555-9360"	"(450) 555-5958"	"6,062.05"	"CAD"	"0.00"	""	"(450) 555-2687"	""	"151,165.42"
