"Is Joint"	"Client No."	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Status"	"Segmentation"	"Model Number"	"Model Name"	"Management Level"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Date of Birth"	"Communication"	"Client Relationship No."	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"	"Name"
"No"	"800300"	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"1SCORE CALCUL"	""	""	"julie.lamarche@croesus.com"	"01/01/1990"	""	""	"n/a"	""	"(450) 555-4442"	""	"689,533.32"	"1CALCUL SCORE"
"No"	"800301"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"1SCORE CALCUL"	""	""	"julie.lamarche@croesus.com"	"01/01/1990"	""	""	"n/a"	""	"(450) 555-4442"	""	"0.00"	"1CALCUL SCORE"
"No"	"800302"	"(450) 555-4444"	"(450) 555-4441"	"5,292.50"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"1SCORE CALCUL"	""	""	"julie.lamarche@croesus.com"	"01/01/1990"	""	""	"n/a"	""	"(450) 555-4442"	""	"689,825.83"	"1CALCUL SCORE"
"No"	"800303"	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"1SCORE FOND"	""	""	"julie.lamarche@croesus.com"	"01/01/1990"	""	""	"n/a"	""	"(450) 555-4442"	""	"0.00"	"1SCORE FOND"
"No"	"800217"	"(450) 555-7061"	"(450) 555-8297"	"73,885.93"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BRUCE ADLER"	""	""	"CARLTON.CANNON@caramail.com"	"03/07/1965"	""	""	"0.00"	""	"(450) 555-3775"	""	"1,759,698.97"	"ADLER BRUCE"
"No"	"800228"	"(450) 555-1514"	"(450) 555-0827"	"11,138.51"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ACHILLE AIL"	""	""	"ANNEKE.CHADILLON@hotmail.com"	"03/07/1965"	""	""	"0.00"	""	"(450) 555-1727"	""	"476,250.89"	"AIL ACHILLE"
"No"	"800241"	"(450) 555-8327"	"(450) 555-6713"	"6,990.58"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"ANNY ALARY"	""	""	"AELBERS.CLEMENT@usa.net"	"10/11/1959"	""	""	"0.00"	""	"(450) 555-6498"	""	"422,604.45"	"ALARY ANNY"
"No"	"800066"	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BERVERLY APPEL"	""	""	"BERGEC.BLASUTTO@yahoo.com"	"02/11/1953"	""	""	"n/a"	""	"(450) 555-2898"	""	"292,739.44"	"APPEL BERVERLY"
"No"	"800056"	"(450) 555-3889"	"(450) 555-9951"	"368.09"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BETTIE ARAMBASICH"	""	""	"BESSETTE.LAVEN@yahoo.com"	"12/12/1970"	""	""	"0.00"	""	"(450) 555-8752"	""	"539,355.36"	"ARAMBASICH BETTI"
"No"	"800049"	"(450) 555-9327"	"(450) 555-0037"	"14,407.74"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ARVIS ARMAND"	""	""	"ANTONIN.BENHAM@hotmail.com"	"05/07/1960"	""	""	"0.00"	""	"(450) 555-6449"	""	"712,348.77"	"ARMAND ARVIS"
"No"	"800245"	"(450) 555-8632"	"(450) 555-0609"	"4,128.33"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ADIRONDACK ARSENAULT"	""	""	"ali.hachemi@croesus.com"	"09/07/1968"	""	""	"0.00"	""	"(450) 555-5552"	""	"412,730.11"	"ARSENAULT ADIRON"
"No"	"800252"	"(450) 555-4265"	"(450) 555-8593"	"4,025.21"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BACHIR ATHANASOPOULOS"	""	""	"CHRISTINE.PALIOTTI@videotron.ca"	"09/07/1968"	""	""	"0.00"	""	"(450) 555-2044"	""	"2,459,037.51"	"ATHANASOPOULOS B"
"No"	"800240"	"(450) 555-4284"	"(450) 555-3001"	"0.00"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"English"	"AUDREY AUBREY"	""	""	"ASTRID.CLARK@hotmail.com"	"10/11/1959"	""	""	"n/a"	""	"(450) 555-7115"	""	"0.00"	"AUBREY AUDREY"
"No"	"800270"	"(450) 555-7755"	"(450) 555-7411"	"(5,643.79)"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ARLEEN BALBUL"	""	""	"AMEDE.CARLETON@usa.net"	"07/28/1947"	""	""	"n/a"	""	"(450) 555-0404"	""	"841,041.28"	"BALBUL ARLEEN"
"No"	"800232"	"(450) 555-1002"	"(450) 555-1070"	"649.99"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CATHERINA BARBOUR"	""	""	"BARBARA.CHARITY@yahoo.com"	"10/11/1959"	""	""	"n/a"	""	"(450) 555-4988"	""	"728,813.17"	"BARBOUR CATHERIN"
"No"	"800068"	"(450) 555-6025"	"(450) 555-5840"	"390.66"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CARLSON BARKWELL"	""	""	"AYOTTE.BOEHMLER@yahoo.com"	"02/11/1953"	""	""	"n/a"	""	"(450) 555-5028"	""	"250,286.36"	"BARKWELL CARLSON"
"No"	"800265"	"(450) 555-6934"	"(450) 555-0907"	"3,268.66"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"ARTHUR BARROWS"	""	""	"CHARBONNEAU.OVERGAARD@videotron.ca"	"07/28/1947"	""	""	"n/a"	""	"(450) 555-2160"	""	"377,543.52"	"BARROWS ARTHUR"
"No"	"800033"	"(450) 555-7498"	"(450) 555-1584"	"1,463.29"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"BLAINE BARTLEY"	""	""	"ARTHUR.BARROWS@hotmail.com"	"07/22/1936"	""	""	"0.00"	""	"(450) 555-1370"	""	"521,168.05"	"BARTLEY BLAINE"
"No"	"800285"	"(450) 555-5251"	"(450) 555-1671"	"1,933.46"	"CAD"	""	"3"	"2"	"1"	"Open"	""	""	""	""	"French"	"CHOY BASTET"	""	""	"BOUDRIAS.CREATEAU@caramail.com"	"06/15/1975"	""	""	"0.00"	""	"(450) 555-5182"	""	"624,999.93"	"BASTET CHOY"
