No client	Téléphone 1	Téléphone 2	Solde	Devise	Revenu brut	carolet	Bouquet	bateau F	Bagage	Arbre F	Type tél. 4	Type tél. 3	Type tél. 2	Type tél. 1	Segmentation	Nom modèle	Nom complet	No modèle	Langue	Interlocuteur	Date de naissance	Courriel 3	Courriel 2	Courriel 1	Communication	Marge	Dern. Communication	Âge	Téléphone 3	Téléphone 4	Valeur totale	Nom
800040	5148075821		"31 537,84"	CAD								3	2	OSSOTH			1234567 CANADA INC.		Français	Non	1900-01-01			BEAUCHAMP.PAPPAS@yahoo.com		"0,00"		118	(450) 555-8263		"1 229 201,61"	1234567 CANADA I
800300	(450) 555-4444	(450) 555-4441	"10 292,50"	CAD								3	2	1			1SCORE CALCUL		Français	Non	1990-01-01			julie.lamarche@croesus.com		"0,00"		28	(450) 555-4442		"1 379 355,70"	1CALCUL SCORE
800303	(450) 555-4444	(450) 555-4441	"0,00"	CAD								3	2	1			1SCORE FOND		Français	Non	1990-01-01			julie.lamarche@croesus.com		"0,00"		28	(450) 555-4442		"0,00"	1SCORE FOND
90099A			"0,00"	CAD													test 58448 réel		Français	Non						"0,00"					"0,00"	58448 RÉEL TEST
800042	(450) 555-9672	(450) 555-7949	"0,00"	CAD			Numéro de titre	% en autres valeurs mobilières		98765432101		3	2	1	D		GESTION ABCDEF INC.		Anglais	Non	1900-01-01			ANGELE.BEAVEN@hotmail.com	Courriel	"0,00"		118	(450) 555-1172		"0,00"	ABCDEF INC. GEST
800217	(450) 555-7061	(450) 555-8297	"73 885,93"	CAD	3 252		Numéro de titre	% en actions privilégiées		452145.33		3	2	1			BRUCE ADLER		Français	Non	1965-03-07			CARLTON.CANNON@caramail.com		"0,00"		53	(450) 555-3775		"1 683 543,68"	ADLER BRUCE
800228	4505551514	4505550827	"11 138,51"	CAD	60 000		Catégorie	% en bons de souscription		4582.36		3	2	1			MONSIEUR ACHILLE T. AILLE FR.		Anglais	Non	1965-01-01			ANNEKE.CHADILLON@hotmail.com		"0,00"		53	(450) 555-1727		"476 250,89"	AILLE ACHILLE
800241	(450) 555-8327	(450) 555-6713	"6 990,58"	CAD								3	2	1			ANNY ALARY		Anglais	Non				sebastien.marcotte@croesus.com		"0,00"			(450) 555-6498		"422 604,54"	ALARY ANNY
800038	(450) 555-7211	(450) 555-3571	"0,00"	CAD								3	2	1		SOUS_MODELE	FIDUCIE ALUN LESTRAT	~M-00016-0	Français	Non	1900-01-01			ARVIS.BAZIN@hotmail.com		"0,00"		118	(450) 555-3616		"469 441,99"	ALUN LESTRAT FID
800066	(450) 555-4237	(450) 555-6129	"13 445,90"	CAD			Catégorie	% en actions privilégiées		450252.22		3	2	1			BERVERLY APPEL		Français	Non	1953-02-11			sebastien.marcotte@croesus.com		"0,00"		65	(450) 555-2898		"292 733,55"	APPEL BERVERLY
