"Status"	"Balance"	"Account No."	"Name"	"IA Code"	"Telephone 1"	"Currency"	"Last Contact"	"Full Name"	"Date of Birth"	"Assigned to"
"Open"	"833,754.65"	"800216-NA"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"CAD"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	""
"Completed"	"681,540.37"	"800216-OB"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"USD"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	"Croesus Sysadm"
"Open"	"476,961.48"	"300007-OB"	"GP VALIDATION"	"BD88"	"(450) 555-4444"	"USD"	""	"GP VALIDATION"	"1980-01-01 12:00:00 AM"	""
"Open"	"471,784.75"	"800502-NA"	"RAPPORT INTACC"	"BD88"	"(450) 555-4444"	"CAD"	""	"RAPPORT INTACC"	"1990-01-01 12:00:00 AM"	""
"Open"	"453,258.00"	"800401-NA"	"PROJ. INC. RPT"	"BD88"	"(450) 555-4444"	"CAD"	""	"PROJECTED INCOME REPORT"	"1990-01-01 12:00:00 AM"	""
"Open"	"453,258.00"	"800400-NA"	"PROJ. INC. RPT"	"BD88"	"(450) 555-4444"	"CAD"	""	"PROJECTED INCOME REPORT"	"1990-01-01 12:00:00 AM"	""
"Open"	"447,859.00"	"300007-NA"	"GP VALIDATION"	"BD88"	"(450) 555-4444"	"CAD"	""	"GP VALIDATION"	"1980-01-01 12:00:00 AM"	""
"Open"	"301,576.54"	"800036-NA"	"JACOBSON BEVERAL"	"AC44"	"(450) 555-9221"	"CAD"	""	"BEVERALY JACOBSON"	"1967-04-23 12:00:00 AM"	""
"Open"	"273,850.16"	"300010-OB"	"CALCULS GAINS/PE"	"BD88"	"(450) 555-4444"	"USD"	""	"CALCULS GAINS/PERTES"	"1980-01-01 12:00:00 AM"	""
"Open"	"268,778.65"	"300010-NA"	"CALCULS GAINS/PE"	"BD88"	"(450) 555-4444"	"CAD"	""	"CALCULS GAINS/PERTES"	"1980-01-01 12:00:00 AM"	""
"Open"	"266,141.04"	"800063-OB"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"USD"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	"Croesus Sysadm"
"Open"	"233,938.96"	"800008-OB"	"CHADILLON ANNEKE"	"AC42"	"(450) 555-0404"	"USD"	""	"ANNEKE CHADILLON"	"1948-09-12 12:00:00 AM"	""
"Open"	"216,828.76"	"800002-OB"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"USD"	""	"AUGUSTUS BEANLAND"	"1948-09-12 12:00:00 AM"	""
"Open"	"198,967.04"	"800060-NA"	"GRUEN CHANTAL"	"AC42"	"(450) 555-7403"	"CAD"	""	"CHANTAL GRUEN"	"1970-12-12 12:00:00 AM"	""
"Open"	"192,288.35"	"800063-NA"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"CAD"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	""
"Open"	"171,147.13"	"800280-SF"	"GALLEY BENEZETTE"	"AC43"	"(450) 555-3727"	"USD"	""	"BENEZETTE GALLEY"	"1975-06-15 12:00:00 AM"	""
"Open"	"149,888.26"	"800249-NA"	"HOFFMAN ARRY"	"BD88"	"(450) 555-6934"	"CAD"	""	"ARRY HOFFMAN"	"1968-09-07 12:00:00 AM"	""
"Open"	"145,175.96"	"300012-NA"	"TRXIONS FONDS CI"	"BD88"	"(450) 555-4444"	"CAD"	""	"TRXIONS FONDS CIBC"	"1980-01-01 12:00:00 AM"	""
"Open"	"143,256.11"	"800041-NA"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"CAD"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	""
"Open"	"142,067.81"	"800041-OB"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"USD"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	""
"Open"	"122,664.08"	"800031-NA"	"GREENSPOON SOWLI"	"AC42"	"(450) 555-6375"	"CAD"	""	"SOWLIN GREENSPOON"	"1936-07-22 12:00:00 AM"	""
"Open"	"113,045.51"	"800020-RE"	"MAKRIS ACACIA"	"AC42"	"(450) 555-3128"	"CAD"	""	"ACACIA MAKRIS"	"1950-01-10 12:00:00 AM"	""
"Open"	"105,843.52"	"300001-NA"	"VALIDATIONS CALC"	"BD88"	"(450) 555-4444"	"CAD"	""	"VALIDATIONS CALCULS"	"1980-01-01 12:00:00 AM"	""
"Open"	"95,922.40"	"300002-NA"	"VALIDATIONS SEPA"	"BD88"	"(450) 555-4444"	"CAD"	""	"VALIDATIONS SEPARATION LOT"	"1980-01-01 12:00:00 AM"	""
"Open"	"95,476.03"	"800236-NA"	"TRUEMAN AMARJIT"	"BD66"	"(450) 555-9212"	"CAD"	""	"AMARJIT TRUEMAN"	"1959-10-11 12:00:00 AM"	""
"Open"	"94,546.82"	"800041-FS"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"CAD"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	""
"Open"	"92,145.40"	"800248-NA"	"TABAK BERANGERE"	"BD88"	"(450) 555-1478"	"CAD"	""	"BERANGERE TABAK"	"1968-09-07 12:00:00 AM"	""
"Open"	"89,929.28"	"300002-OB"	"VALIDATIONS SEPA"	"BD88"	"(450) 555-4444"	"USD"	""	"VALIDATIONS SEPARATION LOT"	"1980-01-01 12:00:00 AM"	""
