"Status"	"Balance"	"Account No."	"Name"	"IA Code"	"Telephone 1"	"Currency"	"Assigned to"
"Open"	"833,754.65"	"800216-NA"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"CAD"	""
"Completed"	"681,540.37"	"800216-OB"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"USD"	"Croesus Sysadm"
"Open"	"476,961.48"	"300007-OB"	"GP VALIDATION"	"BD88"	"(450) 555-4444"	"USD"	""
"Open"	"471,784.75"	"800502-NA"	"RAPPORT INTACC"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"453,258.00"	"800401-NA"	"PROJ. INC. RPT"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"453,258.00"	"800400-NA"	"PROJ. INC. RPT"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"447,859.00"	"300007-NA"	"GP VALIDATION"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"301,576.54"	"800036-NA"	"JACOBSON BEVERAL"	"AC44"	"(450) 555-9221"	"CAD"	""
"Open"	"273,850.16"	"300010-OB"	"CALCULS GAINS/PE"	"BD88"	"(450) 555-4444"	"USD"	""
"Open"	"268,778.65"	"300010-NA"	"CALCULS GAINS/PE"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"266,141.04"	"800063-OB"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"USD"	"Croesus Sysadm"
"Open"	"233,938.96"	"800008-OB"	"CHADILLON ANNEKE"	"AC42"	"(450) 555-0404"	"USD"	""
"Open"	"216,828.76"	"800002-OB"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"USD"	""
"Open"	"198,967.04"	"800060-NA"	"GRUEN CHANTAL"	"AC42"	"(450) 555-7403"	"CAD"	""
"Open"	"192,288.35"	"800063-NA"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"CAD"	""
"Open"	"171,147.13"	"800280-SF"	"GALLEY BENEZETTE"	"AC43"	"(450) 555-3727"	"USD"	""
"Open"	"149,888.26"	"800249-NA"	"HOFFMAN ARRY"	"BD88"	"(450) 555-6934"	"CAD"	""
"Open"	"145,175.96"	"300012-NA"	"TRXIONS FONDS CI"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"143,256.11"	"800041-NA"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"CAD"	""
"Open"	"142,067.81"	"800041-OB"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"USD"	""
"Open"	"122,664.08"	"800031-NA"	"GREENSPOON SOWLI"	"AC42"	"(450) 555-6375"	"CAD"	""
"Open"	"113,045.51"	"800020-RE"	"MAKRIS ACACIA"	"AC42"	"(450) 555-3128"	"CAD"	""
"Open"	"105,843.52"	"300001-NA"	"VALIDATIONS CALC"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"95,922.40"	"300002-NA"	"VALIDATIONS SEPA"	"BD88"	"(450) 555-4444"	"CAD"	""
"Open"	"95,476.03"	"800236-NA"	"TRUEMAN AMARJIT"	"BD66"	"(450) 555-9212"	"CAD"	""
"Open"	"94,546.82"	"800041-FS"	"QUAGHEBEUR CAROL"	"AC44"	"(450) 555-3467"	"CAD"	""
"Open"	"92,145.40"	"800248-NA"	"TABAK BERANGERE"	"BD88"	"(450) 555-1478"	"CAD"	""
"Open"	"89,929.28"	"300002-OB"	"VALIDATIONS SEPA"	"BD88"	"(450) 555-4444"	"USD"	""
"Open"	"82,550.22"	"800072-SF"	"CATANI BRAY"	"AC42"	"(450) 555-2128"	"USD"	""
"Open"	"74,399.78"	"800082-RE"	"NEVINS BENNETT"	"BD88"	"(450) 555-1298"	"CAD"	""
