"Status"	"Balance"	"Account No."	"IA Code"	"Telephone 1"	"Last Contact"	"Full Name"	"Date of Birth"	"Assigned to"	"Name"
"Open"	"833,754.65"	"800216-NA"	"AC43"	"(450) 555-9953"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	""	"SAMSON AMYN"
"Completed"	"681,540.37"	"800216-OB"	"AC43"	"(450) 555-9953"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	"Croesus Sysadm"	"SAMSON AMYN"
"Open"	"476,961.48"	"300007-OB"	"BD88"	"(450) 555-4444"	""	"GP VALIDATION"	"1980-01-01 12:00:00 AM"	""	"GP VALIDATION"
"Open"	"471,784.75"	"800502-NA"	"BD88"	"(450) 555-4444"	""	"RAPPORT INTACC"	"1990-01-01 12:00:00 AM"	""	"RAPPORT INTACC"
"Open"	"453,258.00"	"800401-NA"	"BD88"	"(450) 555-4444"	""	"PROJECTED INCOME REPORT"	"1990-01-01 12:00:00 AM"	""	"PROJ. INC. RPT"
"Open"	"453,258.00"	"800400-NA"	"BD88"	"(450) 555-4444"	""	"PROJECTED INCOME REPORT"	"1990-01-01 12:00:00 AM"	""	"PROJ. INC. RPT"
"Open"	"447,859.00"	"300007-NA"	"BD88"	"(450) 555-4444"	""	"GP VALIDATION"	"1980-01-01 12:00:00 AM"	""	"GP VALIDATION"
"Open"	"301,576.54"	"800036-NA"	"AC44"	"(450) 555-9221"	""	"BEVERALY JACOBSON"	"1967-04-23 12:00:00 AM"	""	"JACOBSON BEVERAL"
"Open"	"273,850.16"	"300010-OB"	"BD88"	"(450) 555-4444"	""	"CALCULS GAINS/PERTES"	"1980-01-01 12:00:00 AM"	""	"CALCULS GAINS/PE"
"Open"	"268,778.65"	"300010-NA"	"BD88"	"(450) 555-4444"	""	"CALCULS GAINS/PERTES"	"1980-01-01 12:00:00 AM"	""	"CALCULS GAINS/PE"
"Open"	"266,141.04"	"800063-OB"	"AC42"	"(450) 555-8191"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	"Croesus Sysadm"	"EVERTON BERNATCH"
"Open"	"233,938.96"	"800008-OB"	"AC42"	"(450) 555-0404"	""	"ANNEKE CHADILLON"	"1948-09-12 12:00:00 AM"	""	"CHADILLON ANNEKE"
"Open"	"216,828.76"	"800002-OB"	"AC42"	"(450) 555-7727"	""	"AUGUSTUS BEANLAND"	"1948-09-12 12:00:00 AM"	""	"BEANLAND AUGUSTU"
"Open"	"198,967.04"	"800060-NA"	"AC42"	"(450) 555-7403"	""	"CHANTAL GRUEN"	"1970-12-12 12:00:00 AM"	""	"GRUEN CHANTAL"
"Open"	"192,288.35"	"800063-NA"	"AC42"	"(450) 555-8191"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	""	"EVERTON BERNATCH"
"Open"	"171,147.13"	"800280-SF"	"AC43"	"(450) 555-3727"	""	"BENEZETTE GALLEY"	"1975-06-15 12:00:00 AM"	""	"GALLEY BENEZETTE"
"Open"	"149,888.26"	"800249-NA"	"BD88"	"(450) 555-6934"	""	"ARRY HOFFMAN"	"1968-09-07 12:00:00 AM"	""	"HOFFMAN ARRY"
"Open"	"145,175.96"	"300012-NA"	"BD88"	"(450) 555-4444"	""	"TRXIONS FONDS CIBC"	"1980-01-01 12:00:00 AM"	""	"TRXIONS FONDS CI"
"Open"	"143,256.11"	"800041-NA"	"AC44"	"(450) 555-3467"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	""	"QUAGHEBEUR CAROL"
"Open"	"142,067.81"	"800041-OB"	"AC44"	"(450) 555-3467"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	""	"QUAGHEBEUR CAROL"
"Open"	"122,664.08"	"800031-NA"	"AC42"	"(450) 555-6375"	""	"SOWLIN GREENSPOON"	"1936-07-22 12:00:00 AM"	""	"GREENSPOON SOWLI"
"Open"	"113,045.51"	"800020-RE"	"AC42"	"(450) 555-3128"	""	"ACACIA MAKRIS"	"1950-01-10 12:00:00 AM"	""	"MAKRIS ACACIA"
"Open"	"105,843.52"	"300001-NA"	"BD88"	"(450) 555-4444"	""	"VALIDATIONS CALCULS"	"1980-01-01 12:00:00 AM"	""	"VALIDATIONS CALC"
"Open"	"95,922.40"	"300002-NA"	"BD88"	"(450) 555-4444"	""	"VALIDATIONS SEPARATION LOT"	"1980-01-01 12:00:00 AM"	""	"VALIDATIONS SEPA"
