"Prénom"	"Nom"	"Nom de succursale"	"Code de succursale"
"Warren"	"Buffet"	"Head-Office"	"H-O"
"Karl"	"Marx"	"Head-Office"	"H-O"
"Peter"	"Lynch"	"Head-Office"	"H-O"
"John"	"Keynes"	"Head-Office"	"H-O"
"Suzor"	"Coté"	"Head-Office"	"H-O"
"Claude"	"Monet"	"Head-Office"	"H-O"
"Vincent"	"Van Goth"	"Head-Office"	"H-O"
"Marc-Aurèle"	"Fortin"	"Head-Office"	"H-O"
"Pierre-Élliot"	"Trudeau"	"Sherbrooke"	"CE"
"John"	"McDonald"	"Sherbrooke"	"CE"
"Brian"	"Mulroney"	"Sherbrooke"	"CE"
"Wilfrid"	"Laurier"	"Sherbrooke"	"CE"
"Joe"	"Clark"	"Sherbrooke"	"CE"
"René"	"Lévesque"	"Québec"	"DF"
"Jacques"	"Parizeau"	"Québec"	"DF"
"Robert"	"Bourassa"	"Québec"	"DF"
"Maurice"	"Duplessis"	"Québec"	"DF"
"Lucien"	"Bouchard"	"Québec"	"DF"
"Isaac"	"Newton"	"Laval"	"BD"
"Charles"	"Darwin"	"Laval"	"BD"
"Marie"	"Curie"	"Laval"	"BD"
"Alexander"	"Fleming"	"Laval"	"BD"
"Albert"	"Einstein"	"Laval"	"BD"
"Thomas"	"Edison"	"Laval"	"BD"
"Louis"	"Pasteur"	"Laval"	"BD"
"Enrico"	"Fermi"	"Laval"	"BD"
"Edmund"	"Halley"	"Laval"	"BD"
"Alexander"	"Graham Bell"	"Laval"	"BD"
"Nicolas"	"Copernic"	"Laval"	"BD"
"Galileo"	"Galillei"	"Laval"	"BD"
"Maria"	"Mayer"	"Laval"	"BD"
"John"	"Dalton"	"Laval"	"BD"
"Marie"	"Victorin"	"Laval"	"BD"
"George"	"Washington"	"Toronto"	"AC"
"Abraham"	"Lincoln"	"Toronto"	"AC"
"John F."	"Kennedy"	"Toronto"	"AC"
"Bill"	"Clinton"	"Toronto"	"AC"
"George W."	"Bush"	"Toronto"	"AC"
"John"	"Adams"	"Toronto"	"AC"
"Gerald"	"Ford"	"Toronto"	"AC"
"Jimmy"	"Carter"	"Toronto"	"AC"
"Lyndon"	"Johnson"	"Toronto"	"AC"
"Ronald"	"Reagan"	"Toronto"	"AC"
"Frankelin"	"Roosevelt"	"Toronto"	"AC"
"Harry"	"Truman"	"Toronto"	"AC"
"James"	"Monroe"	"Toronto"	"AC"
"Thomas"	"Jefferson"	"Toronto"	"AC"
"Dwight"	"Eisenhower"	"Toronto"	"AC"
"MAYES"	"TANYA"	"Laval"	"BD"
