Titre	Taux	Source	Règlement	Portion de l'intérêt	Note	Nom	No client	Mouv. d'enc.	Invest. unit. manuel	Ind. VM	G/P cap. investi	Description	Traitement	Transaction	Code de CP	Type	Symbole	Quantité	Prix	Total	Commission	Gains/Pertes	Int. courus	Frais	PBR manuel	Solde	No de compte
M60899	1,00000000	VEN	2009/12/21	0,00	Vente	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/12/21	BD88	Vente	M60899	(10 000)	99,900	9 990,00	0,00	0,00	0,00	0,00	0,000	471 784,75	800502-NA
M22142	1,00000000	ACH	2009/06/15	0,00	ACH	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2009/06/15	BD88	Achat	M22142	10 000	85,500	(8 550,00)	0,00	0,00	0,00	0,00	0,000	461 794,75	800502-NA
M60899	1,00000000	ACH	2009/03/31	0,00	ACH	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/03/31	BD88	Achat	M60899	10 000	99,000	(9 900,00)	0,00	0,00	0,00	0,00	0,000	470 344,75	800502-NA
M86062	1,00000000	TRF	2009/03/31	0,00	TRF	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2009/03/31	BD88	Achat	M86062	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	480 244,75	800502-NA
M22142	1,00000000	ACH	2009/03/31	0,00	ACH	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-CANADA GOVT     1JN15	2010/01/25	2009/03/31	BD88	Achat	M22142	10 000	85,000	(8 500,00)	0,00	0,00	0,00	0,00	0,000	480 244,75	800502-NA
M60899	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	9 859,80	0,000		0,00	INT-N.S. POWER     26FV10	2010/01/25	2009/03/03	BD88	Transfert	M60899	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	488 744,75	800502-NA
X10428	1,29050000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	13 388,94	0,000		0,00	TIME WARN   8.75% 10JA15*	2010/01/25	2009/03/03	BD88	Transfert	X10428	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	488 744,75	800502-NA
M22762	1,29000000	ACH	2009/03/03	0,00	ACH	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-HYDRO QUE  U$  13JA13	2010/01/25	2009/03/03	BD88	Achat	M22762	10 000	87,250	(11 255,25)	0,00	0,00	0,00	0,00	0,000	488 744,75	800502-NA
M86062	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	0,00	0,000		0,00	INT-MONTREAL       30JA11	2010/01/25	2009/03/03	BD88	Achat	M86062	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
M02717	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	9 444,60	0,000		0,00	PRIN-HYDRO QUEBEC  26SP11	2010/01/25	2009/03/03	BD88	Transfert	M02717	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
M84827	1,00000000	TRF	2009/03/03	0,00	TRF	RAPPORT INTACC	800502	8 321,10	0,000		0,00	INT-HYDRO QUEBEC   15AO14	2010/01/25	2009/03/03	BD88	Transfert	M84827	10 000	0,000	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00	800502-NA
