"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Status"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Full Name"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"
"1CALCUL SCORE"	"800300-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"CAD"	"Open"	""	""	""	"01/25/2010"	""	"French"	"1SCORE CALCUL"	"01/25/2010"	""	"800300"	"n/a"	"689,533.32"
"1CALCUL SCORE"	"800301-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	"Open"	""	""	""	""	""	"French"	"1SCORE CALCUL"	"01/25/2010"	""	"800301"	"n/a"	"0.00"
"1CALCUL SCORE"	"800302-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"5,000.00"	"USD"	"Open"	""	""	""	"01/25/2010"	""	"French"	"1SCORE CALCUL"	"01/25/2010"	""	"800302"	"n/a"	"651,701.30"
"ADLER BRUCE"	"800217-RE"	"AC43"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"12,512.53"	"CAD"	"Open"	""	""	""	"01/22/2010"	"01/13/2010"	"French"	"BRUCE ADLER"	"12/01/2009"	""	"800217"	"0.00"	"1,295,327.30"
"ADLER BRUCE"	"800217-SF"	"AC43"	"E - Margin Long"	""	"(450) 555-7061"	"(450) 555-8297"	"57,981.48"	"USD"	"Open"	""	""	""	"01/22/2010"	"01/15/2010"	"French"	"BRUCE ADLER"	"12/01/2009"	""	"800217"	"0.00"	"366,855.34"
"AIL ACHILLE"	"800228-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-1514"	"(450) 555-0827"	"6,654.51"	"CAD"	"Open"	""	""	""	"01/20/2010"	"01/19/2010"	"French"	"ACHILLE AIL"	"12/01/2009"	""	"800228"	"n/a"	"183,609.72"
"AIL ACHILLE"	"800228-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-1514"	"(450) 555-0827"	"260.84"	"CAD"	"Open"	""	""	""	"11/16/2009"	""	"French"	"ACHILLE AIL"	"12/01/2009"	""	"800228"	"n/a"	"5,923.34"
"AIL ACHILLE"	"800228-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-1514"	"(450) 555-0827"	"4,223.16"	"CAD"	"Open"	""	""	""	"01/25/2010"	"01/05/2010"	"French"	"ACHILLE AIL"	"12/01/2009"	""	"800228"	"0.00"	"286,717.83"
"ALARY ANNY"	"800241-FS"	"BD88"	"S - Retirement Savings Plan"	""	"(450) 555-8327"	"(450) 555-6713"	"0.00"	"CAD"	"Open"	""	""	""	"04/16/2004"	""	"English"	"ANNY ALARY"	"12/01/2009"	""	"800241"	"n/a"	"0.00"
"ALARY ANNY"	"800241-GT"	"BD88"	"T - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"417.09"	"CAD"	"Open"	""	""	""	"01/22/2010"	"01/04/2010"	"English"	"ANNY ALARY"	"12/01/2009"	""	"800241"	"n/a"	"363,100.63"
"ALARY ANNY"	"800241-JW"	"BD88"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8327"	"(450) 555-6713"	"232.00"	"CAD"	"Open"	""	""	""	"12/31/2009"	""	"English"	"ANNY ALARY"	"12/01/2009"	""	"800241"	"n/a"	"5,732.00"
"ALARY ANNY"	"800241-RE"	"BD88"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"6,341.43"	"CAD"	"Open"	""	""	""	"01/22/2010"	""	"English"	"ANNY ALARY"	"12/01/2009"	""	"800241"	"0.00"	"53,771.76"
"ALARY ANNY"	"800241-SF"	"BD88"	"E - Margin Long"	""	"(450) 555-8327"	"(450) 555-6713"	"0.06"	"USD"	"Open"	""	""	""	"02/18/2005"	""	"English"	"ANNY ALARY"	"12/01/2009"	""	"800241"	"0.00"	"0.06"
"APPEL BERVERLY"	"800066-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-4237"	"(450) 555-6129"	"0.00"	"CAD"	"Open"	""	""	""	"07/04/2007"	""	"French"	"BERVERLY APPEL"	"12/01/2009"	""	"800066"	"n/a"	"0.00"
"APPEL BERVERLY"	"800066-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-4237"	"(450) 555-6129"	"13,445.90"	"CAD"	"Open"	""	""	""	"01/22/2010"	"01/11/2010"	"French"	"BERVERLY APPEL"	"12/01/2009"	""	"800066"	"n/a"	"292,739.44"
