"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Statut"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Langue"	"Dernier achat/vente"	"Dern. trans."	"Début de gestion"	"Date de fermeture"	"Création"	"Marge"	"Valeur totale"	"Nom"
"800300-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"CAD"	"Ouvert"	""	"1SCORE CALCUL"	""	"800300"	"Français"	""	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"689 533,32"	"1CALCUL SCORE"
"800301-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"Ouvert"	""	"1SCORE CALCUL"	""	"800301"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"	"1CALCUL SCORE"
"800302-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"USD"	"Ouvert"	""	"1SCORE CALCUL"	""	"800302"	"Français"	""	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"651 701,30"	"1CALCUL SCORE"
"800217-RE"	"E - Marge couvert"	""	"(450) 555-7061"	"(450) 555-8297"	"12 512,53"	"CAD"	"Ouvert"	""	"BRUCE ADLER"	""	"800217"	"Français"	"2010/01/13"	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"1 295 327,30"	"ADLER BRUCE"
"800217-SF"	"E - Marge couvert"	""	"(450) 555-7061"	"(450) 555-8297"	"57 981,48"	"USD"	"Ouvert"	""	"BRUCE ADLER"	""	"800217"	"Français"	"2010/01/15"	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"366 855,34"	"ADLER BRUCE"
"800228-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1514"	"(450) 555-0827"	"6 654,51"	"CAD"	"Ouvert"	""	"ACHILLE AIL"	""	"800228"	"Français"	"2010/01/19"	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"183 609,72"	"AIL ACHILLE"
"800228-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1514"	"(450) 555-0827"	"260,84"	"CAD"	"Ouvert"	""	"ACHILLE AIL"	""	"800228"	"Français"	""	"2009/11/16"	""	""	"2009/12/01"	"n/d"	"5 923,34"	"AIL ACHILLE"
"800228-RE"	"E - Marge couvert"	""	"(450) 555-1514"	"(450) 555-0827"	"4 223,16"	"CAD"	"Ouvert"	""	"ACHILLE AIL"	""	"800228"	"Français"	"2010/01/05"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"286 717,83"	"AIL ACHILLE"
"800241-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"0,00"	"CAD"	"Ouvert"	""	"ANNY ALARY"	""	"800241"	"Anglais"	""	"2004/04/16"	""	""	"2009/12/01"	"n/d"	"0,00"	"ALARY ANNY"
"800241-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8327"	"(450) 555-6713"	"417,09"	"CAD"	"Ouvert"	""	"ANNY ALARY"	""	"800241"	"Anglais"	"2010/01/04"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"363 100,63"	"ALARY ANNY"
