"Nom"	"No client"	"Code de CP"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Marge"	"Dern. Communication"	"Âge"	"Téléphone 3"	"Téléphone 4"	"Valeur totale"
"1CALCUL SCORE"	"800300"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"CAD"	"n/d"	""	"28"	"(450) 555-4442"	""	"689 533,32"
"1CALCUL SCORE"	"800301"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"n/d"	""	"28"	"(450) 555-4442"	""	"0,00"
"1CALCUL SCORE"	"800302"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"5 292,50"	"CAD"	"n/d"	""	"28"	"(450) 555-4442"	""	"689 825,83"
"1SCORE FOND"	"800303"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"n/d"	""	"28"	"(450) 555-4442"	""	"0,00"
"ADLER BRUCE"	"800217"	"AC43"	"(450) 555-7061"	"(450) 555-8297"	"73 885,93"	"CAD"	"0,00"	""	"53"	"(450) 555-3775"	""	"1 683 643,68"
"AIL ACHILLE"	"800228"	"BD88"	"(450) 555-1514"	"(450) 555-0827"	"11 138,51"	"CAD"	"0,00"	""	"53"	"(450) 555-1727"	""	"476 250,89"
"ALARY ANNY"	"800241"	"BD88"	"(450) 555-8327"	"(450) 555-6713"	"6 990,58"	"CAD"	"0,00"	""	"59"	"(450) 555-6498"	""	"422 604,45"
"APPEL BERVERLY"	"800066"	"AC42"	"(450) 555-4237"	"(450) 555-6129"	"16 171,43"	"CAD"	"n/d"	""	"65"	"(450) 555-2898"	""	"360 624,88"
"ARAMBASICH BETTI"	"800056"	"AC42"	"(450) 555-3889"	"(450) 555-9951"	"368,09"	"CAD"	"0,00"	""	"47"	"(450) 555-8752"	""	"509 330,42"
"ARMAND ARVIS"	"800049"	"AC42"	"(450) 555-9327"	"(450) 555-0037"	"14 407,74"	"CAD"	"0,00"	""	"58"	"(450) 555-6449"	""	"712 348,77"
"ARSENAULT ADIRON"	"800245"	"AC42"	"(450) 555-8632"	"(450) 555-0609"	"4 128,33"	"CAD"	"0,00"	""	"50"	"(450) 555-5552"	""	"412 730,11"
"ATHANASOPOULOS B"	"800252"	"AC42"	"(450) 555-4265"	"(450) 555-8593"	"4 025,21"	"CAD"	"0,00"	""	"50"	"(450) 555-2044"	""	"2 459 037,51"
"AUBREY AUDREY"	"800240"	"BD88"	"(450) 555-4284"	"(450) 555-3001"	"0,00"	"CAD"	"n/d"	""	"59"	"(450) 555-7115"	""	"(90 797,09)"
"BALBUL ARLEEN"	"800270"	"BD77"	"(450) 555-7755"	"(450) 555-7411"	"(5 643,79)"	"CAD"	"n/d"	""	"71"	"(450) 555-0404"	""	"762 950,13"
"BARBOUR CATHERIN"	"800232"	"BD88"	"(450) 555-1002"	"(450) 555-1070"	"649,99"	"CAD"	"n/d"	""	"59"	"(450) 555-4988"	""	"684 176,03"
"BARKWELL CARLSON"	"800068"	"BD66"	"(450) 555-6025"	"(450) 555-5840"	"390,66"	"CAD"	"n/d"	""	"65"	"(450) 555-5028"	""	"229 634,16"
"BARROWS ARTHUR"	"800265"	"BD77"	"(450) 555-6934"	"(450) 555-0907"	"3 268,66"	"CAD"	"n/d"	""	"71"	"(450) 555-2160"	""	"359 249,18"
"BARTLEY BLAINE"	"800033"	"AC44"	"(450) 555-7498"	"(450) 555-1584"	"1 463,29"	"CAD"	"0,00"	""	"82"	"(450) 555-1370"	""	"(121 197,11)"
"BASTET CHOY"	"800285"	"AC42"	"(450) 555-5251"	"(450) 555-1671"	"1 933,46"	"CAD"	"0,00"	""	"43"	"(450) 555-5182"	""	"624 999,93"
"BEANLAND AUGUSTU"	"800002"	"AC42"	"(450) 555-7727"	"(450) 555-1322"	"276 793,46"	"CAD"	"0,00"	""	"70"	"(450) 555-2299"	""	"2 525 767,96"
"BEAUCH RAYMOND"	"800238"	"BD88"	"(450) 555-5907"	"(450) 555-1414"	"17 044,37"	"CAD"	"0,00"	""	"59"	"(450) 555-2860"	""	"1 563 718,37"
"BELLEROSE ANGELA"	"800202"	"AC43"	"(450) 555-3088"	"(450) 555-1218"	"8 192,46"	"CAD"	"n/d"	""	"43"	"(450) 555-9588"	""	"95 601,37"
"BELLINI CARILYNE"	"800058"	"AC42"	"(450) 555-4422"	"(450) 555-6940"	"13 292,29"	"CAD"	"0,00"	""	"47"	"(450) 555-6078"	""	"372 615,15"
