"No client"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Type tél. 4"	"Type tél. 3"	"Type tél. 2"	"Type tél. 1"	"Segmentation"	"Nom modèle"	"Nom complet"	"No modèle"	"Langue"	"Date de naissance"	"Courriel 3"	"Courriel 2"	"Courriel 1"	"Communication"	"Marge"	"Dern. Communication"	"Âge"	"Téléphone 3"	"Téléphone 4"	"Valeur totale"	"Nom"
"800300"	"(450) 555-4444"	"(450) 555-4441"	"5 000,00"	"CAD"	""	"3"	"2"	"1"	""	""	"1SCORE CALCUL"	""	"Français"	"1990/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"28"	"(450) 555-4442"	""	"689 533,32"	"1CALCUL SCORE"
"800301"	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"1SCORE CALCUL"	""	"Français"	"1990/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"28"	"(450) 555-4442"	""	"0,00"	"1CALCUL SCORE"
"800302"	"(450) 555-4444"	"(450) 555-4441"	"5 292,50"	"CAD"	""	"3"	"2"	"1"	""	""	"1SCORE CALCUL"	""	"Français"	"1990/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"28"	"(450) 555-4442"	""	"689 825,83"	"1CALCUL SCORE"
"800303"	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	"3"	"2"	"1"	""	""	"1SCORE FOND"	""	"Français"	"1990/01/01"	""	""	"julie.lamarche@croesus.com"	""	"n/d"	""	"28"	"(450) 555-4442"	""	"0,00"	"1SCORE FOND"
"800217"	"(450) 555-7061"	"(450) 555-8297"	"73 885,93"	"CAD"	""	"3"	"2"	"1"	""	""	"BRUCE ADLER"	""	"Français"	"1965/03/07"	""	""	"CARLTON.CANNON@caramail.com"	""	"0,00"	""	"53"	"(450) 555-3775"	""	"1 683 643,68"	"ADLER BRUCE"
"800228"	"(450) 555-1514"	"(450) 555-0827"	"11 138,51"	"CAD"	""	"3"	"2"	"1"	""	""	"ACHILLE AIL"	""	"Français"	"1965/03/07"	""	""	"ANNEKE.CHADILLON@hotmail.com"	""	"0,00"	""	"53"	"(450) 555-1727"	""	"476 250,89"	"AIL ACHILLE"
"800241"	"(450) 555-8327"	"(450) 555-6713"	"6 990,58"	"CAD"	""	"3"	"2"	"1"	""	""	"ANNY ALARY"	""	"Anglais"	"1959/10/11"	""	""	"AELBERS.CLEMENT@usa.net"	""	"0,00"	""	"59"	"(450) 555-6498"	""	"422 604,45"	"ALARY ANNY"
"800066"	"(450) 555-4237"	"(450) 555-6129"	"16 171,43"	"CAD"	""	"3"	"2"	"1"	""	""	"BERVERLY APPEL"	""	"Français"	"1953/02/11"	""	""	"BERGEC.BLASUTTO@yahoo.com"	""	"n/d"	""	"65"	"(450) 555-2898"	""	"360 624,88"	"APPEL BERVERLY"
"800056"	"(450) 555-3889"	"(450) 555-9951"	"368,09"	"CAD"	""	"3"	"2"	"1"	""	""	"BETTIE ARAMBASICH"	""	"Français"	"1970/12/12"	""	""	"BESSETTE.LAVEN@yahoo.com"	""	"0,00"	""	"47"	"(450) 555-8752"	""	"509 330,42"	"ARAMBASICH BETTI"
"800049"	"(450) 555-9327"	"(450) 555-0037"	"14 407,74"	"CAD"	""	"3"	"2"	"1"	""	""	"ARVIS ARMAND"	""	"Français"	"1960/05/07"	""	""	"ANTONIN.BENHAM@hotmail.com"	""	"0,00"	""	"58"	"(450) 555-6449"	""	"712 348,77"	"ARMAND ARVIS"
"800245"	"(450) 555-8632"	"(450) 555-0609"	"4 128,33"	"CAD"	""	"3"	"2"	"1"	""	""	"ADIRONDACK ARSENAULT"	""	"Français"	"1968/09/07"	""	""	"ali.hachemi@croesus.com"	""	"0,00"	""	"50"	"(450) 555-5552"	""	"412 730,11"	"ARSENAULT ADIRON"
