""	"Balance"	"Account No."	"IA Code"	"Telephone 1"	"Last Contact"	"Full Name"	"Date of Birth"	"Age"	"Assigned to"	"Name"
"Open"	"833,754.65"	"800216-NA"	"AC43"	"(450) 555-9953"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	"82"	""	"SAMSON AMYN"
"Completed"	"681,540.37"	"800216-OB"	"AC43"	"(450) 555-9953"	""	"AMYN SAMSON"	"1936-10-10 12:00:00 AM"	"82"	"Croesus Sysadm"	"SAMSON AMYN"
"Open"	"301,576.54"	"800036-NA"	"AC44"	"(450) 555-9221"	""	"BEVERALY JACOBSON"	"1967-04-23 12:00:00 AM"	"51"	""	"JACOBSON BEVERAL"
"Open"	"266,141.04"	"800063-OB"	"AC42"	"(450) 555-8191"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	"47"	"Croesus Sysadm"	"EVERTON BERNATCH"
"Open"	"233,938.96"	"800008-OB"	"AC42"	"(450) 555-0404"	""	"ANNEKE CHADILLON"	"1948-09-12 12:00:00 AM"	"70"	""	"CHADILLON ANNEKE"
"Open"	"216,828.76"	"800002-OB"	"AC42"	"(450) 555-7727"	""	"AUGUSTUS BEANLAND"	"1948-09-12 12:00:00 AM"	"70"	""	"BEANLAND AUGUSTU"
"Open"	"198,967.04"	"800060-NA"	"AC42"	"(450) 555-7403"	""	"CHANTAL GRUEN"	"1970-12-12 12:00:00 AM"	"47"	""	"GRUEN CHANTAL"
"Open"	"192,288.35"	"800063-NA"	"AC42"	"(450) 555-8191"	""	"BERNATCHEZ EVERTON"	"1970-12-12 12:00:00 AM"	"47"	""	"EVERTON BERNATCH"
"Open"	"171,147.13"	"800280-SF"	"AC43"	"(450) 555-3727"	""	"BENEZETTE GALLEY"	"1975-06-15 12:00:00 AM"	"43"	""	"GALLEY BENEZETTE"
"Open"	"149,888.26"	"800249-NA"	"BD88"	"(450) 555-6934"	""	"ARRY HOFFMAN"	"1968-09-07 12:00:00 AM"	"50"	""	"HOFFMAN ARRY"
"Open"	"143,256.11"	"800041-NA"	"AC44"	"(450) 555-3467"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	"58"	""	"QUAGHEBEUR CAROL"
"Open"	"142,067.81"	"800041-OB"	"AC44"	"(450) 555-3467"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	"58"	""	"QUAGHEBEUR CAROL"
"Open"	"122,664.08"	"800031-NA"	"AC42"	"(450) 555-6375"	""	"SOWLIN GREENSPOON"	"1936-07-22 12:00:00 AM"	"82"	""	"GREENSPOON SOWLI"
"Open"	"113,045.51"	"800020-RE"	"AC42"	"(450) 555-3128"	""	"ACACIA MAKRIS"	"1950-01-10 12:00:00 AM"	"68"	""	"MAKRIS ACACIA"
"Open"	"95,476.03"	"800236-NA"	"BD66"	"(450) 555-9212"	""	"AMARJIT TRUEMAN"	"1959-10-11 12:00:00 AM"	"59"	""	"TRUEMAN AMARJIT"
"Open"	"94,546.82"	"800041-FS"	"AC44"	"(450) 555-3467"	""	"CAROLLE QUAGHEBEUR"	"1960-01-30 12:00:00 AM"	"58"	""	"QUAGHEBEUR CAROL"
