""	"Solde"	"No de compte"	"Nom"	"Code de CP"	"Téléphone 1"	"Devise"	"Nom long"	"Dernier contact"	"Date de naissance"	"Âge"	"Assignée à"
"Ouvert"	"833 754,65"	"800216-NA"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"CAD"	"AMYN SAMSON"	""	"1936-10-10 00:00:00"	"82"	""
"Complété"	"681 540,37"	"800216-OB"	"SAMSON AMYN"	"AC43"	"(450) 555-9953"	"USD"	"AMYN SAMSON"	""	"1936-10-10 00:00:00"	"82"	"Croesus Sysadm"
"Ouvert"	"301 576,54"	"800036-NA"	"JACOBSON BEVERAL"	"AC44"	"(450) 555-9221"	"CAD"	"BEVERALY JACOBSON"	""	"1967-04-23 00:00:00"	"51"	""
"Ouvert"	"266 141,04"	"800063-OB"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"USD"	"BERNATCHEZ EVERTON"	""	"1970-12-12 00:00:00"	"47"	"Croesus Sysadm"
"Ouvert"	"233 938,96"	"800008-OB"	"CHADILLON ANNEKE"	"AC42"	"(450) 555-0404"	"USD"	"ANNEKE CHADILLON"	""	"1948-09-12 00:00:00"	"70"	""
"Ouvert"	"216 828,76"	"800002-OB"	"BEANLAND AUGUSTU"	"AC42"	"(450) 555-7727"	"USD"	"AUGUSTUS BEANLAND"	""	"1948-09-12 00:00:00"	"70"	""
"Ouvert"	"198 967,04"	"800060-NA"	"GRUEN CHANTAL"	"AC42"	"(450) 555-7403"	"CAD"	"CHANTAL GRUEN"	""	"1970-12-12 00:00:00"	"47"	""
"Ouvert"	"192 288,35"	"800063-NA"	"EVERTON BERNATCH"	"AC42"	"(450) 555-8191"	"CAD"	"BERNATCHEZ EVERTON"	""	"1970-12-12 00:00:00"	"47"	""
"Ouvert"	"171 147,13"	"800280-SF"	"GALLEY BENEZETTE"	"AC43"	"(450) 555-3727"	"USD"	"BENEZETTE GALLEY"	""	"1975-06-15 00:00:00"	"43"	""
"Ouvert"	"149 888,26"	"800249-NA"	"HOFFMAN ARRY"	"BD88"	"(450) 555-6934"	"CAD"	"ARRY HOFFMAN"	""	"1968-09-07 00:00:00"	"50"	""
