Acct. No.	Source	Settlement	Security	Rate	Note	Name	Manual Invest. Cost	MV Ind.	Invest. Cap. G/L	Interest Portion	Description	Client No.	Cash Flow	Processing	Transaction	IA Code	Type	Symbol	Quantity	Price	Cur.	Total	Commission	Gains/Losses	Accrued Int.	Fees	Manual ACB	Cash Balance
800502-NA	VEN	12/21/2009	M60899	1.00000000	Vente	RAPPORT INTACC	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800502	0.00	01/25/2010	12/21/2009	BD88	Sell	M60899	(10,000)	99.900	CAD	9,990.00	0.00	0.00	0.00	0.00	0.000	471,784.75
800502-NA	ACH	06/15/2009	M22142	1.00000000	ACH	RAPPORT INTACC	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800502	0.00	01/25/2010	06/15/2009	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	461,794.75
800502-NA	ACH	03/31/2009	M60899	1.00000000	ACH	RAPPORT INTACC	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800502	0.00	01/25/2010	03/31/2009	BD88	Buy	M60899	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	470,344.75
800502-NA	TRF	03/31/2009	M86062	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	INT-MONTREAL       30JA11	800502	0.00	01/25/2010	03/31/2009	BD88	Buy	M86062	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	480,244.75
800502-NA	ACH	03/31/2009	M22142	1.00000000	ACH	RAPPORT INTACC	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800502	0.00	01/25/2010	03/31/2009	BD88	Buy	M22142	10,000	85.000	CAD	(8,500.00)	0.00	0.00	0.00	0.00	0.000	480,244.75
800502-NA	TRF	03/03/2009	M60899	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800502	9,859.80	01/25/2010	03/03/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	TRF	03/03/2009	X10428	1.29050000	TRF	RAPPORT INTACC	0.000		0.00	0.00	TIME WARN   8.75% 10JA15*	800502	13,388.94	01/25/2010	03/03/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	ACH	03/03/2009	M22762	1.29000000	ACH	RAPPORT INTACC	0.000		0.00	0.00	INT-HYDRO QUE  U$  13JA13	800502	0.00	01/25/2010	03/03/2009	BD88	Buy	M22762	10,000	87.250	USD	(11,255.25)	0.00	0.00	0.00	0.00	0.000	488,744.75
800502-NA	TRF	03/03/2009	M86062	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	INT-MONTREAL       30JA11	800502	0.00	01/25/2010	03/03/2009	BD88	Buy	M86062	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	TRF	03/03/2009	M02717	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	PRIN-QUEBEC HYDRO  26SP11	800502	9,444.60	01/25/2010	03/03/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	TRF	03/03/2009	M84827	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	INT-QUEBEC HYDRO   15AG14	800502	8,321.10	01/25/2010	03/03/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	TRF	03/03/2009	M85810	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	PRIN-QUEBEC PROV   28JN10	800502	9,866.40	01/25/2010	03/03/2009	BD88	Transfer	M85810	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	TRF	03/03/2009	M22691	1.00000000	TRF	RAPPORT INTACC	0.000		0.00	0.00	INT-HYDRO QUEBEC   16JA20	800502	5,787.70	01/25/2010	03/03/2009	BD88	Transfer	M22691	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800502-NA	DEP	03/03/2009		1.00000000	Depot	RAPPORT INTACC	0.000		0.00	0.00	BALANCE ( CAD )	800502	500,000.00	01/25/2010	03/03/2009	BD88	Deposit	1CAD	0.00	0.000	CAD	500,000.00	0.00	0.00	0.00	0.00	0.000	500,000.00
800401-NA	VEN	01/27/2010	M60899	1.00000000	Vente	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800401	0.00	01/25/2010	01/22/2010	BD88	Sell	M60899	(10,000)	99.950	CAD	9,995.00	0.00	0.00	0.00	0.00	0.000	453,258.00
800401-NA	ACH	01/20/2010	M86062	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-MONTREAL       30JA11	800401	0.00	01/25/2010	01/20/2010	BD88	Buy	M86062	10,000	99.000	CAD	(9,900.00)	0.00	0.00	0.00	0.00	0.000	443,263.00
800401-NA	ACH	01/20/2010	M22142	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-CANADA GOVT     1JN15	800401	0.00	01/25/2010	01/20/2010	BD88	Buy	M22142	10,000	85.500	CAD	(8,550.00)	0.00	0.00	0.00	0.00	0.000	453,163.00
800401-NA	ACH	12/31/2009	M60899	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800401	0.00	01/25/2010	12/31/2009	BD88	Buy	M60899	10,000	99.900	CAD	(9,990.00)	0.00	0.00	0.00	0.00	0.000	461,713.00
800401-NA	TRF	12/28/2009	M02717	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	PRIN-QUEBEC HYDRO  26SP11	800401	9,723.10	01/25/2010	12/28/2009	BD88	Transfer	M02717	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	TRF	12/28/2009	M84827	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-QUEBEC HYDRO   15AG14	800401	8,592.40	01/25/2010	12/28/2009	BD88	Transfer	M84827	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	TRF	12/11/2009	M60899	1.00000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	INT-N.S. POWER     26FB10	800401	9,989.20	01/25/2010	12/11/2009	BD88	Transfer	M60899	10,000	0.000	CAD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	TRF	12/11/2009	X10428	1.06000000	TRF	PROJ. INC. RPT	0.000		0.00	0.00	TIME WARN   8.75% 10JA15*	800401	10,997.50	01/25/2010	12/11/2009	BD88	Transfer	X10428	10,000	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	ACH	12/11/2009	M22762	1.06000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-HYDRO QUE  U$  13JA13	800401	0.00	01/25/2010	12/11/2009	BD88	Buy	M22762	10,000	93.500	USD	(9,911.00)	0.00	0.00	0.00	0.00	0.000	471,703.00
800401-NA	ACH	12/11/2009	M86062	1.00000000	ACH	PROJ. INC. RPT	0.000		0.00	0.00	INT-MONTREAL       30JA11	800401	0.00	01/25/2010	12/11/2009	BD88	Buy	M86062	10,000	98.860	CAD	(9,886.00)	0.00	0.00	0.00	0.00	0.000	481,614.00
