No de compte	Traitement	Transaction	Code de CP	Type	Symbole	Quantité	Prix	Devise	Total	Commission	Gains/Pertes	Int. courus	Frais	PBR manuel	Solde
800502-NA	2010/01/25	2009/12/21	BD88	Vente	M60899	(10 000)	99,900	CAD	9 990,00	0,00	0,00	0,00	0,00	0,000	471 784,75
800502-NA	2010/01/25	2009/06/15	BD88	Achat	M22142	10 000	85,500	CAD	(8 550,00)	0,00	0,00	0,00	0,00	0,000	461 794,75
800502-NA	2010/01/25	2009/03/31	BD88	Achat	M60899	10 000	99,000	CAD	(9 900,00)	0,00	0,00	0,00	0,00	0,000	470 344,75
800502-NA	2010/01/25	2009/03/31	BD88	Achat	M86062	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	480 244,75
800502-NA	2010/01/25	2009/03/31	BD88	Achat	M22142	10 000	85,000	CAD	(8 500,00)	0,00	0,00	0,00	0,00	0,000	480 244,75
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	M60899	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	488 744,75
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	X10428	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	488 744,75
800502-NA	2010/01/25	2009/03/03	BD88	Achat	M22762	10 000	87,250	USD	(11 255,25)	0,00	0,00	0,00	0,00	0,000	488 744,75
800502-NA	2010/01/25	2009/03/03	BD88	Achat	M86062	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	M02717	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	M84827	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	M85810	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800502-NA	2010/01/25	2009/03/03	BD88	Transfert	M22691	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800502-NA	2010/01/25	2009/03/03	BD88	Dépôt	1CAD	0,00	0,000	CAD	500 000,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800401-NA	2010/01/25	2010/01/22	BD88	Vente	M60899	(10 000)	99,950	CAD	9 995,00	0,00	0,00	0,00	0,00	0,000	453 258,00
800401-NA	2010/01/25	2010/01/20	BD88	Achat	M86062	10 000	99,000	CAD	(9 900,00)	0,00	0,00	0,00	0,00	0,000	443 263,00
800401-NA	2010/01/25	2010/01/20	BD88	Achat	M22142	10 000	85,500	CAD	(8 550,00)	0,00	0,00	0,00	0,00	0,000	453 163,00
800401-NA	2010/01/25	2009/12/31	BD88	Achat	M60899	10 000	99,900	CAD	(9 990,00)	0,00	0,00	0,00	0,00	0,000	461 713,00
800401-NA	2010/01/25	2009/12/28	BD88	Transfert	M02717	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00
800401-NA	2010/01/25	2009/12/28	BD88	Transfert	M84827	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00
800401-NA	2010/01/25	2009/12/11	BD88	Transfert	M60899	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00
800401-NA	2010/01/25	2009/12/11	BD88	Transfert	X10428	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	471 703,00
800401-NA	2010/01/25	2009/12/11	BD88	Achat	M22762	10 000	93,500	USD	(9 911,00)	0,00	0,00	0,00	0,00	0,000	471 703,00
800401-NA	2010/01/25	2009/12/11	BD88	Achat	M86062	10 000	98,860	CAD	(9 886,00)	0,00	0,00	0,00	0,00	0,000	481 614,00
800401-NA	2010/01/25	2009/12/11	BD88	Achat	M22142	10 000	85,000	CAD	(8 500,00)	0,00	0,00	0,00	0,00	0,000	491 500,00
800401-NA	2010/01/25	2009/12/11	BD88	Transfert	M85810	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800401-NA	2010/01/25	2009/12/11	BD88	Transfert	M22691	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800401-NA	2010/01/25	2009/12/11	BD88	Dépôt	1CAD	0,00	0,000	CAD	500 000,00	0,00	0,00	0,00	0,00	0,000	500 000,00
800400-NA	2010/01/25	2010/01/22	BD88	Vente	M60899	(10 000)	99,950	CAD	9 995,00	0,00	0,00	0,00	0,00	0,000	453 258,00
800400-NA	2010/01/25	2010/01/20	BD88	Achat	M86062	10 000	99,000	CAD	(9 900,00)	0,00	0,00	0,00	0,00	0,000	443 263,00
800400-NA	2010/01/25	2010/01/20	BD88	Achat	M22142	10 000	85,500	CAD	(8 550,00)	0,00	0,00	0,00	0,00	0,000	453 163,00
800400-NA	2010/01/25	2010/01/11	BD88	Dépôt	1CAD	0,00	0,000	CAD	500 000,00	0,00	0,00	0,00	0,00	0,000	461 713,00
800400-NA	2010/01/25	2009/12/31	BD88	Achat	M60899	10 000	99,900	CAD	(9 990,00)	0,00	0,00	0,00	0,00	0,000	(38 287,00)
800400-NA	2010/01/25	2009/12/28	BD88	Transfert	M02717	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)
800400-NA	2010/01/25	2009/12/28	BD88	Transfert	M84827	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)
800400-NA	2010/01/25	2009/12/11	BD88	Transfert	M60899	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)
800400-NA	2010/01/25	2009/12/11	BD88	Transfert	X10428	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	(28 297,00)
800400-NA	2010/01/25	2009/12/11	BD88	Achat	M22762	10 000	93,500	USD	(9 911,00)	0,00	0,00	0,00	0,00	0,000	(28 297,00)
800400-NA	2010/01/25	2009/12/11	BD88	Achat	M86062	10 000	98,860	CAD	(9 886,00)	0,00	0,00	0,00	0,00	0,000	(18 386,00)
800400-NA	2010/01/25	2009/12/11	BD88	Achat	M22142	10 000	85,000	CAD	(8 500,00)	0,00	0,00	0,00	0,00	0,000	(8 500,00)
800400-NA	2010/01/25	2009/12/11	BD88	Transfert	M85810	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	0,00
800400-NA	2010/01/25	2009/12/11	BD88	Transfert	M22691	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	0,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	B55444	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	A36754	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	R13369	10 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	M22687	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	R76899	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	R35681	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	M85693	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	T83520	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	BA.UN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	AET.UN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	NA.PR.N	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	AES.PR.C	200	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	T	200	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	AEM	200	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	AA	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	FEZ	250	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	FEU	250	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XIN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XFN	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XGD	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XIT	1 500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XMA	500	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XIU	750	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	XSP	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	EWJ	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	RRB.UN	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	CBL170	100 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	NA	1 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	DIS	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	AGU	200	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	IAH	1 000	0,000	USD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	V56635	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	M85805	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	Q49599	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	Q42798	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
800302-OB	2010/01/25	2010/01/11	BD88	Transfert	B55248	10 000	0,000	CAD	0,00	0,00	0,00	0,00	0,00	0,000	5 000,00
