"Code de CP"	"Code de succursale"	"Nom"	"Nom de succursale"
""	"H-O"	""	"Head-Office"
"AA1A"	"AC"	"Marie Curie"	"Toronto"
"AA1B"	"AC"	"Isaac Newton"	"Toronto"
"AA1C"	"AC"	"Lyndon Johnson"	"Toronto"
"AA1D"	"AC"	"James Monroe"	"Toronto"
"AA1E"	"AC"	"Thomas Jefferson"	"Toronto"
"AA1F"	"AC"	"Dwigth Eisenhower"	"Toronto"
"AA1G"	"AC"	"Charles Darwin"	"Toronto"
"AA1P"	"AC"	"Charles Darwin"	"Toronto"
"AA2P"	"AC"	"Charles Darwin"	"Toronto"
"AC42"	"AC"	"R. Reagan, F. Roosevelt, H. Truman"	"Toronto"
"AC43"	"AC"	"Ronald Reagan, CFA"	"Toronto"
"AC44"	"AC"	"George Washington / George W. Bush"	"Toronto"
"AC47"	"AC"	"Gerald Ford"	"Toronto"
"AC55"	"AC"	"Bill Clinton"	"Toronto"
"0AED"	"BD"	"Croesus GP1859"	"Laval"
"1RAA"	"BD"	"AV-HEREQU"	"Laval"
"1RBC"	"BD"	"BD-EQALPHA"	"Laval"
"1RC1"	"BD"	"BD-EQALPHA"	"Laval"
"1RCF"	"BD"	"AV-HERCDN"	"Laval"
"1RCX"	"BD"	"AV-HERCDN"	"Laval"
"1RD7"	"BD"	"BD-EQALPHA"	"Laval"
"1RD8"	"BD"	"BD-EQALPHA"	"Laval"
"1RD9"	"BD"	"BD-EQALPHA"	"Laval"
"3RA5"	"BD"	"BD-EQALPHA"	"Laval"
"3RAA"	"BD"	"AV-HERCDN"	"Laval"
"3RBC"	"BD"	"BD-EQALPHA"	"Laval"
"3RCX"	"BD"	"AV-HERCDN"	"Laval"
"7V8X"	"BD"	"BHP-GR-DIV"	"Laval"
"7V9N"	"BD"	"BHP-GR-DIV"	"Laval"
"7VAT"	"BD"	"BHP-GR-DIV"	"Laval"
"7VAU"	"BD"	"BHP-GR-DIV"	"Laval"
"7VAV"	"BD"	"BHP-GR-DIV"	"Laval"
"7VAX"	"BD"	"BHP-GR-DIV"	"Laval"
"BD66"	"BD"	"Albert Einstein"	"Laval"
"BD67"	"BD"	"Graham Bell, C.A."	"Laval"
"BD77"	"BD"	"Alexander Flemming / Graham Bell"	"Laval"
"BD88"	"BD"	"C. Darwin, N. Copernic, G. Galillei"	"Laval"
"BD99"	"BD"	"Louis Pasteur"	"Laval"
"CE23"	"CE"	"P-E Trudeau / B. Mulroney"	"Sherbrooke"
"CE24"	"CE"	"Wilfrid Laurier"	"Sherbrooke"
"CE25"	"CE"	"Pierre-Elliot Trudeau, Pl. Fin."	"Sherbrooke"
"DF35"	"DF"	"René Lévesque, FICVM"	"Québec"
"DF36"	"DF"	"Robert Bourassa"	"Québec"
"DF37"	"DF"	"René Lévesque / Maurice Duplessis"	"Québec"
"HO12"	"H-O"	"Warren Buffet / Karl Marx"	"Head-Office"
